koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,0,0,-0.08692943775847305,CANDIDATE,4,0,0
0,0,0,0,-0.050399485643261195,CANDIDATE,4,0,0
1,0,0,1,-0.007140331822615572,FALSE POSITIVE,11,5,7
1,0,0,1,-0.08401345035278508,FALSE POSITIVE,11,5,7
0,0,0,0,-0.053251385413659307,CANDIDATE,4,1,0
0,0,0,0,-0.08144994494119127,CANDIDATE,4,0,0
0,0,0,0,-0.07853395753550331,CANDIDATE,4,0,0
0,0,0,0,-0.08295600437050263,CANDIDATE,4,0,0
1,0,1,0,0.0075036928411140935,FALSE POSITIVE,17,1,2
0,0,0,0,-0.07946322824720606,CANDIDATE,4,0,0
0,0,0,0,-0.08401345035278508,CANDIDATE,4,0,0
0,0,0,0,-0.08061680568242328,CANDIDATE,4,0,0
0,0,0,0,-0.07657928465916303,CANDIDATE,4,0,0
0,0,0,0,-0.052354158519601485,CANDIDATE,4,1,0
0,0,0,0,-0.06507555412463578,CANDIDATE,4,0,0
0,0,0,0,-0.07177271201242462,CANDIDATE,4,0,0
0,0,0,0,-0.08369301217633586,CANDIDATE,4,0,0
0,0,0,0,-0.08273169764698816,CANDIDATE,4,0,0
0,0,1,0,-0.0013404008288845713,FALSE POSITIVE,8,1,1
0,0,1,0,0.0069589479411504025,FALSE POSITIVE,8,1,1
1,0,1,1,-0.04572108826710248,FALSE POSITIVE,10,1,3
0,0,0,0,-0.08020023605303928,CANDIDATE,4,0,0
0,0,0,0,-0.07863008898843808,CANDIDATE,4,0,0
0,0,1,0,-0.05632759190757189,FALSE POSITIVE,8,1,1
0,0,0,0,-0.054180656125362076,CANDIDATE,4,0,0
0,0,0,0,-0.08269965382934326,CANDIDATE,4,0,0
0,0,0,0,-0.08478250197626322,CANDIDATE,4,0,0
0,0,0,0,-0.0816422078470608,CANDIDATE,4,0,0
1,0,0,0,-0.07709198574148178,FALSE POSITIVE,3,5,4
1,0,0,1,-0.0053458780344999065,FALSE POSITIVE,11,5,7
0,0,0,0,-0.06065350728963644,CANDIDATE,4,0,0
0,0,0,0,-0.0734389905299606,CANDIDATE,4,0,0
