"","koi_score","koi_fpflag_ss","koi_fpflag_nt","koi_fpflag_ec","koi_fpflag_co","koi_depth","koi_period","koi_teq","koi_model_snr","k9.cluster"
"5980",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,0.372579093210298,-0.361929292241139,0.674493972619635,4.50708307072469,6
"5981",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,1.74119354666613,-0.400025887156845,0.233395494288559,0.0468389839702181,2
"5982",-0.437270884089183,-0.598677763004016,-0.360148364045629,-0.392772412055401,1.90969676528739,-0.307183608803196,-0.192806811844842,0.0759461736853687,-0.334831896395617,1
"5983",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.306465106872062,-0.354224253706867,0.179309849806547,-0.328039349276495,2
"5984",-1.0304601588715,-0.598677763004016,2.77627762328478,-0.392772412055401,-0.523576235943423,-0.307914085766515,-0.42162889372174,4.50736331157822,-0.310706642834598,4
"5985",-1.0304601588715,-0.598677763004016,2.77627762328478,-0.392772412055401,-0.523576235943423,-0.307408739408284,-0.418766882992301,2.7309503661468,-0.283302228595382,4
"5986",-1.01997978299195,-0.598677763004016,-0.360148364045629,-0.392772412055401,1.90969676528739,-0.307801520463971,-0.417791846744606,0.769444326265834,-0.338345282836542,1
"5987",-1.02836408369559,-0.598677763004016,-0.360148364045629,-0.392772412055401,1.90969676528739,-0.307751225328791,-0.418384085298762,3.11796319999587,-0.331904074361513,1
"5988",-1.0304601588715,-0.598677763004016,-0.360148364045629,2.5456773782306,1.90969676528739,-0.304574249289962,-0.110989097270998,-0.692069977959202,-0.334831896395617,5
"5989",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,1.90969676528739,-0.279494939383737,-0.188132840758491,-0.737742299966234,-0.311526433004147,1
"5990",0.994348461056835,-0.598677763004016,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.306222013718695,-0.363252181708848,0.118012786060267,-0.336120138090623,3
"5991",1.0551346411582,-0.598677763004016,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.302121762698358,1.00900867019524,-0.87355736277662,-0.320661237750552,3
"5992",-1.0304601588715,-0.598677763004016,2.77627762328478,-0.392772412055401,-0.523576235943423,3.67168848530077,-0.414745254787339,1.9064447635988,0.322054255176021,7
"5993",-1.0304601588715,-0.598677763004016,-0.360148364045629,2.5456773782306,1.90969676528739,-0.297576040480718,-0.309707232518991,-0.743751816019791,-0.32733667198831,5
"5994",0.744915515123634,-0.598677763004016,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.306982428262478,-0.312991259293573,-0.493755948191825,-0.338579508599271,3
"5995",-0.994826880881043,-0.598677763004016,-0.360148364045629,-0.392772412055401,1.90969676528739,-0.304858057552759,0.555168297666133,-0.783414621973267,-0.334129219107432,1
"5996",-1.0304601588715,-0.598677763004016,2.77627762328478,-0.392772412055401,-0.523576235943423,0.817655114451125,1.42743588618584,-0.579091076152332,0.326036093142403,4
"5997",-1.0304601588715,-0.598677763004016,2.77627762328478,-0.392772412055401,-0.523576235943423,0.358364730006035,0.655316143497782,-0.645195752741458,-0.217719015031446,4
"5998",1.02159743834366,-0.598677763004016,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.303513261438321,0.327526565369536,-0.81226029903034,-0.337642605548357,3
"5999",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,4.21343894137565,-0.416821956544001,2.50138685290093,0.563306790786215,7
"6000",-0.382772929515542,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,0.0824001132897311,-0.376563199275011,0.518246555227156,0.441158055523384,2
"6001",1.06351894186184,-0.598677763004016,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.301095502440055,-0.177369700220484,-0.998555296690603,-0.335417460802438,3
"6002",1.05303856598229,-0.598677763004016,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.307305754131489,-0.387545610418152,0.0410909805747387,-0.337174154022901,3
"6003",0.826662446984095,-0.598677763004016,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.307121338635831,-0.383422309479576,-0.464910271134751,-0.337759718429722,3
"6004",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,3.78485253945434,-0.311050440022251,-0.208904887253228,3.97445368628044,6
"6005",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,1.90969676528739,-0.297908946375477,-0.420279947238816,0.418488588738111,-0.196404470623166,1
"6006",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,1.90969676528739,-0.303029470138024,-0.421253015056786,2.21653579196233,-0.227322271303308,1
"6007",-1.02836408369559,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,1.03490614836161,-0.414313261173397,1.00261354914384,1.79310915799138,2
"6008",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,6.14860414256266,0.438401661547309,-0.924037297626498,1.86021483901305,7
"6009",1.06561501703775,-0.598677763004016,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.294777475458952,-0.420992811856676,2.21533388875162,-0.337876831311086,3
"6010",-1.0304601588715,-0.598677763004016,2.77627762328478,2.5456773782306,1.90969676528739,-0.306467501878499,-0.369363922378994,-0.141598307453391,-0.328390687920588,5
"6011",0.378102359339516,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,0.432765604974939,-0.414437021929564,0.601177876766241,0.471138953152612,2
"6012",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,3.02204298923397,-0.338238309885203,-0.606734849998694,1.08996341828089,7
"6013",-1.0304601588715,-0.598677763004016,2.77627762328478,-0.392772412055401,-0.523576235943423,1.15058495927415,-0.34515107411865,-0.35914278859215,2.62683576042292,4
"6014",-1.0304601588715,1.67013359431523,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.287925362042373,-0.306081373781057,0.00383198104268597,-0.217133450624625,2
"6015",0.078363609184493,-0.598677763004016,-0.360148364045629,-0.392772412055401,-0.523576235943423,-0.3030989253247,0.323646094517772,-1.00817052237629,-0.338813734361999,3
