koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
FALSE POSITIVE,1,0,0,1,-0.08539133451151676,2
CANDIDATE,0,0,0,0,-0.02835333910355439,0
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,4
FALSE POSITIVE,0,0,1,0,0.07505206043661111,1
FALSE POSITIVE,1,1,0,1,-0.012010992104643818,9
CANDIDATE,0,0,0,0,-0.06927329423612065,0
FALSE POSITIVE,1,0,1,0,-0.08500680869977768,5
FALSE POSITIVE,0,1,0,1,-0.07356716580054029,11
CANDIDATE,0,0,0,0,-0.08237921565289402,0
CANDIDATE,0,0,0,0,-0.0857438165056109,0
CANDIDATE,0,0,0,0,-0.07939914061191622,0
CANDIDATE,0,0,0,0,-0.08279578528227803,0
FALSE POSITIVE,0,0,1,0,0.06819468346059765,1
CANDIDATE,0,0,0,0,-0.08471841434097338,0
FALSE POSITIVE,0,1,0,0,-0.0861603861349949,7
FALSE POSITIVE,1,0,1,1,-0.005506097122724522,3
CANDIDATE,0,0,0,0,-0.0826355661940534,0
CANDIDATE,0,0,0,0,-0.08119359440003189,0
CANDIDATE,0,0,0,0,-0.0843338885292343,0
FALSE POSITIVE,0,1,0,0,0.02554436217520556,7
FALSE POSITIVE,1,0,0,0,-0.08491067724684291,4
CANDIDATE,0,0,0,0,-0.08689739394082813,0
CANDIDATE,0,0,0,0,-0.08237921565289402,0
FALSE POSITIVE,0,0,1,0,1.0182938766325549,1
FALSE POSITIVE,0,0,1,0,0.06922008562523518,1
CANDIDATE,0,0,0,0,-0.08116155058238697,0
CANDIDATE,0,0,0,0,-0.08811505901133518,0
FALSE POSITIVE,0,0,1,0,0.036086778180385116,1
FALSE POSITIVE,0,0,1,0,0.03659947926270389,1
FALSE POSITIVE,0,1,0,0,-0.03908801801460349,7
CANDIDATE,0,0,0,0,-0.08583994795854567,0
FALSE POSITIVE,0,0,1,0,0.003337996547274143,1
CANDIDATE,0,0,0,0,-0.07843782608256854,0
CANDIDATE,0,0,0,0,-0.08443001998216908,0
FALSE POSITIVE,0,0,1,0,0.3512697685358446,1
CANDIDATE,0,0,0,0,-0.08558359741738629,0
CANDIDATE,0,0,0,0,-0.08173833929999558,0
FALSE POSITIVE,1,0,1,1,0.053774965520382446,3
FALSE POSITIVE,1,0,0,1,-0.019861727427649883,2
CANDIDATE,0,0,0,0,-0.08612834231734998,0
CANDIDATE,0,0,0,0,-0.08423775707629955,0
FALSE POSITIVE,1,0,1,1,-0.08683330630553827,3
CANDIDATE,0,0,0,0,-0.08507089633506752,0
CANDIDATE,0,0,0,0,-0.08446206379981401,0
CANDIDATE,0,0,0,0,-0.08151403257648111,0
CANDIDATE,0,0,0,0,-0.08295600437050263,0
CANDIDATE,0,0,0,0,-0.08167425166470572,0
FALSE POSITIVE,1,1,0,0,-0.08648082431144413,10
FALSE POSITIVE,0,0,1,0,-0.034313489185510006,1
CANDIDATE,0,0,0,0,-0.0796554911530756,0
CANDIDATE,0,0,0,0,-0.08167425166470572,0
FALSE POSITIVE,1,0,0,1,-0.08667308721731366,2
CANDIDATE,0,0,0,0,-0.05299503487249992,0
FALSE POSITIVE,0,0,1,0,-0.049918828378587354,1
CANDIDATE,0,0,0,0,-0.05578284700760821,0
CANDIDATE,0,0,0,0,-0.04584926353768217,0
CANDIDATE,0,0,0,0,-0.07657928465916303,0
CANDIDATE,0,0,0,0,-0.07065117839485233,0
CANDIDATE,0,0,0,0,-0.0816422078470608,0
CANDIDATE,0,0,0,0,-0.08407753798807494,0
FALSE POSITIVE,0,0,1,0,0.059606940331758375,1
CANDIDATE,0,0,0,0,-0.07866213280608299,0
FALSE POSITIVE,1,0,0,1,-0.08731396357021211,2
CANDIDATE,0,0,0,0,-0.04850890040221076,0
FALSE POSITIVE,0,0,1,0,0.07530841097777048,1
CANDIDATE,0,0,0,0,-0.07946322824720606,0
CANDIDATE,0,0,0,0,-0.08068089331771312,0
CANDIDATE,0,0,0,0,-0.05549445264880389,0
FALSE POSITIVE,0,1,0,0,-0.08244330328818386,7
CANDIDATE,0,0,0,0,-0.08478250197626322,0
FALSE POSITIVE,1,0,1,0,-0.0870255692114078,5
CANDIDATE,0,0,0,0,-0.08039249895890882,0
CANDIDATE,0,0,0,0,-0.08676921867024844,0
FALSE POSITIVE,1,0,0,0,-0.08510294015271246,4
CANDIDATE,0,0,0,0,-0.08683330630553827,0
FALSE POSITIVE,1,0,1,0,-0.08590403559383553,5
CANDIDATE,0,0,0,0,-0.08378914362927063,0
CANDIDATE,0,0,0,0,-0.06350540706003456,0
FALSE POSITIVE,1,0,0,0,-0.08478250197626322,4
CANDIDATE,0,0,0,0,-0.08321235491166201,0
FALSE POSITIVE,1,0,1,0,0.22222931487974093,5
CANDIDATE,0,0,0,0,-0.08619242995263983,0
FALSE POSITIVE,1,0,1,1,-0.00018682339366735658,3
CANDIDATE,0,0,0,0,-0.0857438165056109,0
FALSE POSITIVE,1,0,1,1,-0.08779462083488596,3
CANDIDATE,0,0,0,0,-0.056039197548767586,0
FALSE POSITIVE,0,1,0,0,-0.08487863342919799,7
CANDIDATE,0,0,0,0,-0.08638469285850936,0
FALSE POSITIVE,0,0,1,0,-0.03226268485623495,1
FALSE POSITIVE,1,0,0,0,-0.08462228288803861,4
CANDIDATE,0,0,0,0,-0.08391731889985031,0
FALSE POSITIVE,0,0,1,0,0.20992448890409068,1
CANDIDATE,0,0,0,0,-0.07587432067097472,0
CANDIDATE,0,0,0,0,-0.08747418265843673,0
FALSE POSITIVE,1,1,0,1,-0.08481454579390815,9
CANDIDATE,0,0,0,0,-0.08478250197626322,0
CANDIDATE,0,0,0,0,-0.08487863342919799,0
FALSE POSITIVE,1,0,1,1,0.005420844694194112,3
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,4
CANDIDATE,0,0,0,0,-0.08430184471158939,0
FALSE POSITIVE,0,0,1,0,0.41468448365514665,1
FALSE POSITIVE,0,0,1,0,0.11574770884566292,1
CANDIDATE,0,0,0,0,-0.08132176967061158,0
CANDIDATE,0,0,0,0,-0.08555155359974137,0
CANDIDATE,0,0,0,0,-0.083628924541046,0
FALSE POSITIVE,0,1,0,0,-0.0869935253937629,7
FALSE POSITIVE,1,1,0,0,-0.031141151238662665,10
FALSE POSITIVE,0,1,0,0,-0.083628924541046,7
CANDIDATE,0,0,0,0,-0.07971957878836544,0
FALSE POSITIVE,1,1,0,0,-0.08414162562336477,10
CANDIDATE,0,0,0,0,-0.08577586032325583,0
CANDIDATE,0,0,0,0,-0.07488096232398211,0
FALSE POSITIVE,1,1,0,0,-0.007973471081383566,10
FALSE POSITIVE,1,0,1,0,-0.08641673667615428,5
FALSE POSITIVE,0,1,0,1,-0.06132642746017982,11
CANDIDATE,0,0,0,0,-0.08398140653514016,0
FALSE POSITIVE,0,1,0,0,-0.08558359741738629,7
