koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,0,0,-0.07709198574148178,-0.287322473005473,-0.8307462404048882,-0.7400386882744535,-0.04803528989996839,-0.28825074358790664,CANDIDATE,4,0,0
0,0,0,0,-0.08096928767651743,-0.30116253570822765,-0.3769768830878677,-0.662662441788962,-0.04744612001989797,-0.29310234739041624,CANDIDATE,4,0,0
0,0,0,0,-0.0795273158824959,-0.30016304095059454,-0.6487658210642081,0.23232280922655624,-0.047913655973552405,-0.3095504675989243,CANDIDATE,4,0,0
0,0,0,0,-0.07869417662372792,-0.2921329824801518,-0.7515729410813455,-0.7709891868686501,-0.04799510039338131,-0.2541711851702784,CANDIDATE,4,0,0
0,0,0,0,-0.08266761001169833,-0.30568848314602737,-0.9252815231792675,-0.01657078363510814,-0.048063937501129146,-0.32623525140755477,CANDIDATE,4,0,0
0,0,0,0,-0.05033539800797134,-0.19809581217728883,-0.04610339337754026,0.27359014068548493,-0.04601906699513425,0.4753443622070758,CANDIDATE,4,0,0
1,0,1,0,-0.06850424261264251,-0.30323795717554813,0.09451783974934891,0.5121669006824171,-0.04496307143251253,-0.2916823657896817,FALSE POSITIVE,17,1,2
0,0,0,0,-0.08273169764698816,-0.30794616542209274,-0.010652662337148035,-0.39571439141401643,-0.04578100779705877,-0.31392874420118905,CANDIDATE,4,0,0
0,0,1,0,-0.04966247783742797,-0.1750016038950372,-0.4868741493130836,0.13431289701160026,-0.047690394090126084,0.2586788362950019,FALSE POSITIVE,8,1,1
0,0,0,0,-0.08004001696481466,-0.30628112474349456,-0.05792030372433767,0.21684755992945792,-0.04608843680620945,-0.15157751451721013,CANDIDATE,4,0,0
0,0,0,0,-0.07183679964771446,-0.28051179813934257,-0.7397560307345482,-0.3402614147660809,-0.04798817525012551,-0.18187045533287965,CANDIDATE,4,0,0
0,0,0,0,-0.08138585730590142,-0.3011072695275115,-0.41597268723229913,-0.7684099786524671,-0.04754319040399637,-0.29748062399268094,CANDIDATE,4,0,0
0,0,0,0,-0.07526548813572119,-0.29586638936895776,0.11933335147762346,-0.02817722060793187,-0.044740874955740945,-0.19666193034053078,CANDIDATE,4,0,0
0,0,0,0,-0.05033539800797134,-0.11564337405348611,0.09097276664530968,-0.662662441788962,-0.04500260985725506,1.3158551380418442,CANDIDATE,4,1,0
1,0,1,0,-0.06594073720104869,-0.21336221269299518,-0.8413814597170058,0.2490876626317461,-0.048039137201777174,-0.06945524527473099,FALSE POSITIVE,17,1,2
0,0,0,0,-0.08340461781753156,-0.3083377321918478,0.005891012148368337,-0.6033406528167519,-0.04566635820315718,-0.30671050439745523,CANDIDATE,4,0,0
0,0,0,0,-0.07904665861782206,-0.30146826351644485,-0.04492170234286052,-0.2757812093615046,-0.04600823536081107,-0.26470271537572604,CANDIDATE,4,0,0
