koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
FALSE POSITIVE,1,0,0,1,-0.08539133451151676,11
CANDIDATE,0,0,0,0,-0.02835333910355439,24
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,3
FALSE POSITIVE,0,0,1,0,0.07505206043661111,0
FALSE POSITIVE,1,1,0,1,-0.012010992104643818,20
CANDIDATE,0,0,0,0,-0.06927329423612065,24
FALSE POSITIVE,1,0,1,0,-0.08500680869977768,12
FALSE POSITIVE,0,1,0,1,-0.07356716580054029,14
CANDIDATE,0,0,0,0,-0.08237921565289402,24
CANDIDATE,0,0,0,0,-0.0857438165056109,24
CANDIDATE,0,0,0,0,-0.07939914061191622,24
CANDIDATE,0,0,0,0,-0.08279578528227803,24
FALSE POSITIVE,0,0,1,0,0.06819468346059765,0
CANDIDATE,0,0,0,0,-0.08471841434097338,24
FALSE POSITIVE,0,1,0,0,-0.0861603861349949,23
FALSE POSITIVE,1,0,1,1,-0.005506097122724522,21
CANDIDATE,0,0,0,0,-0.0826355661940534,24
CANDIDATE,0,0,0,0,-0.08119359440003189,24
CANDIDATE,0,0,0,0,-0.0843338885292343,24
FALSE POSITIVE,0,1,0,0,0.02554436217520556,4
FALSE POSITIVE,1,0,0,0,-0.08491067724684291,3
CANDIDATE,0,0,0,0,-0.08689739394082813,24
CANDIDATE,0,0,0,0,-0.08237921565289402,24
FALSE POSITIVE,0,0,1,0,1.0182938766325549,10
FALSE POSITIVE,0,0,1,0,0.06922008562523518,0
CANDIDATE,0,0,0,0,-0.08116155058238697,24
CANDIDATE,0,0,0,0,-0.08811505901133518,24
FALSE POSITIVE,0,0,1,0,0.036086778180385116,0
FALSE POSITIVE,0,0,1,0,0.03659947926270389,0
FALSE POSITIVE,0,1,0,0,-0.03908801801460349,23
CANDIDATE,0,0,0,0,-0.08583994795854567,24
FALSE POSITIVE,0,0,1,0,0.003337996547274143,0
CANDIDATE,0,0,0,0,-0.07843782608256854,24
CANDIDATE,0,0,0,0,-0.08443001998216908,24
FALSE POSITIVE,0,0,1,0,0.3512697685358446,9
CANDIDATE,0,0,0,0,-0.08558359741738629,24
CANDIDATE,0,0,0,0,-0.08173833929999558,24
FALSE POSITIVE,1,0,1,1,0.053774965520382446,21
FALSE POSITIVE,1,0,0,1,-0.019861727427649883,11
CANDIDATE,0,0,0,0,-0.08612834231734998,24
CANDIDATE,0,0,0,0,-0.08423775707629955,24
FALSE POSITIVE,1,0,1,1,-0.08683330630553827,21
CANDIDATE,0,0,0,0,-0.08507089633506752,24
CANDIDATE,0,0,0,0,-0.08446206379981401,24
CANDIDATE,0,0,0,0,-0.08151403257648111,24
CANDIDATE,0,0,0,0,-0.08295600437050263,24
CANDIDATE,0,0,0,0,-0.08167425166470572,24
FALSE POSITIVE,1,1,0,0,-0.08648082431144413,13
FALSE POSITIVE,0,0,1,0,-0.034313489185510006,0
CANDIDATE,0,0,0,0,-0.0796554911530756,24
CANDIDATE,0,0,0,0,-0.08167425166470572,24
FALSE POSITIVE,1,0,0,1,-0.08667308721731366,11
CANDIDATE,0,0,0,0,-0.05299503487249992,24
FALSE POSITIVE,0,0,1,0,-0.049918828378587354,0
CANDIDATE,0,0,0,0,-0.05578284700760821,24
CANDIDATE,0,0,0,0,-0.04584926353768217,24
CANDIDATE,0,0,0,0,-0.07657928465916303,24
CANDIDATE,0,0,0,0,-0.07065117839485233,24
CANDIDATE,0,0,0,0,-0.0816422078470608,24
CANDIDATE,0,0,0,0,-0.08407753798807494,24
FALSE POSITIVE,0,0,1,0,0.059606940331758375,0
CANDIDATE,0,0,0,0,-0.07866213280608299,24
FALSE POSITIVE,1,0,0,1,-0.08731396357021211,11
CANDIDATE,0,0,0,0,-0.04850890040221076,24
FALSE POSITIVE,0,0,1,0,0.07530841097777048,0
CANDIDATE,0,0,0,0,-0.07946322824720606,24
CANDIDATE,0,0,0,0,-0.08068089331771312,24
CANDIDATE,0,0,0,0,-0.05549445264880389,24
FALSE POSITIVE,0,1,0,0,-0.08244330328818386,23
CANDIDATE,0,0,0,0,-0.08478250197626322,24
FALSE POSITIVE,1,0,1,0,-0.0870255692114078,12
CANDIDATE,0,0,0,0,-0.08039249895890882,24
CANDIDATE,0,0,0,0,-0.08676921867024844,24
FALSE POSITIVE,1,0,0,0,-0.08510294015271246,3
CANDIDATE,0,0,0,0,-0.08683330630553827,24
FALSE POSITIVE,1,0,1,0,-0.08590403559383553,12
CANDIDATE,0,0,0,0,-0.08378914362927063,24
CANDIDATE,0,0,0,0,-0.06350540706003456,24
FALSE POSITIVE,1,0,0,0,-0.08478250197626322,3
CANDIDATE,0,0,0,0,-0.08321235491166201,24
FALSE POSITIVE,1,0,1,0,0.22222931487974093,12
CANDIDATE,0,0,0,0,-0.08619242995263983,24
FALSE POSITIVE,1,0,1,1,-0.00018682339366735658,21
CANDIDATE,0,0,0,0,-0.0857438165056109,24
FALSE POSITIVE,1,0,1,1,-0.08779462083488596,21
CANDIDATE,0,0,0,0,-0.056039197548767586,24
FALSE POSITIVE,0,1,0,0,-0.08487863342919799,23
CANDIDATE,0,0,0,0,-0.08638469285850936,24
FALSE POSITIVE,0,0,1,0,-0.03226268485623495,0
FALSE POSITIVE,1,0,0,0,-0.08462228288803861,3
CANDIDATE,0,0,0,0,-0.08391731889985031,24
FALSE POSITIVE,0,0,1,0,0.20992448890409068,9
CANDIDATE,0,0,0,0,-0.07587432067097472,24
CANDIDATE,0,0,0,0,-0.08747418265843673,24
FALSE POSITIVE,1,1,0,1,-0.08481454579390815,20
CANDIDATE,0,0,0,0,-0.08478250197626322,24
CANDIDATE,0,0,0,0,-0.08487863342919799,24
FALSE POSITIVE,1,0,1,1,0.005420844694194112,21
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,3
CANDIDATE,0,0,0,0,-0.08430184471158939,24
FALSE POSITIVE,0,0,1,0,0.41468448365514665,9
FALSE POSITIVE,0,0,1,0,0.11574770884566292,0
CANDIDATE,0,0,0,0,-0.08132176967061158,24
CANDIDATE,0,0,0,0,-0.08555155359974137,24
CANDIDATE,0,0,0,0,-0.083628924541046,24
FALSE POSITIVE,0,1,0,0,-0.0869935253937629,23
FALSE POSITIVE,1,1,0,0,-0.031141151238662665,13
FALSE POSITIVE,0,1,0,0,-0.083628924541046,23
CANDIDATE,0,0,0,0,-0.07971957878836544,24
FALSE POSITIVE,1,1,0,0,-0.08414162562336477,13
CANDIDATE,0,0,0,0,-0.08577586032325583,24
CANDIDATE,0,0,0,0,-0.07488096232398211,24
FALSE POSITIVE,1,1,0,0,-0.007973471081383566,13
FALSE POSITIVE,1,0,1,0,-0.08641673667615428,12
FALSE POSITIVE,0,1,0,1,-0.06132642746017982,14
