koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad
CANDIDATE,0,0,0,0,2.64
CANDIDATE,0,0,0,0,6.21
CANDIDATE,0,0,0,0,4.35
CANDIDATE,0,0,0,0,3.75
CANDIDATE,0,0,0,0,13.84
CANDIDATE,0,0,0,0,7.59
FALSE POSITIVE,1,0,1,0,26.82
CANDIDATE,0,0,0,0,2.29
CANDIDATE,0,0,0,0,2.47
CANDIDATE,0,0,0,0,3.68
CANDIDATE,0,0,0,0,10.59
CANDIDATE,0,0,0,0,2.56
CANDIDATE,0,0,0,0,3.03
CANDIDATE,0,0,0,0,2.32
CANDIDATE,0,0,0,0,1.94
CANDIDATE,0,0,0,0,11.38
CANDIDATE,0,0,0,0,14.21
CANDIDATE,0,0,0,0,2.47
CANDIDATE,0,0,0,0,8.2
CANDIDATE,0,0,0,0,2.28
FALSE POSITIVE,0,0,1,0,19.02
FALSE POSITIVE,1,0,1,1,2.66
CANDIDATE,0,0,0,0,1.41
FALSE POSITIVE,0,0,1,0,14.62
CANDIDATE,0,0,0,0,2.62
CANDIDATE,0,0,0,0,3.11
CANDIDATE,0,0,0,0,2.69
CANDIDATE,0,0,0,0,2.67
CANDIDATE,0,0,0,0,8.98
CANDIDATE,0,0,0,0,7.78
FALSE POSITIVE,1,0,1,0,4.37
CANDIDATE,0,0,0,0,3.91
CANDIDATE,0,0,0,0,5.51
CANDIDATE,0,0,0,0,2.43
CANDIDATE,0,0,0,0,1.86
CANDIDATE,0,0,0,0,3.07
CANDIDATE,0,0,0,0,1.69
CANDIDATE,0,0,0,0,1.73
CANDIDATE,0,0,0,0,1.65
FALSE POSITIVE,0,0,1,0,22.94
CANDIDATE,0,0,0,0,2.41
CANDIDATE,0,0,0,0,8.46
CANDIDATE,0,0,0,0,1.97
CANDIDATE,0,0,0,0,2.36
CANDIDATE,0,0,0,0,2.35
CANDIDATE,0,0,0,0,1.55
CANDIDATE,0,0,0,0,2.62
FALSE POSITIVE,0,0,1,0,588.66
CANDIDATE,0,0,0,0,2.33
CANDIDATE,0,0,0,0,2.18
CANDIDATE,0,0,0,0,1.42
FALSE POSITIVE,1,0,1,1,63.66
CANDIDATE,0,0,0,0,3.16
CANDIDATE,0,0,0,0,2.54
CANDIDATE,0,0,0,0,3.2
CANDIDATE,0,0,0,0,1.78
CANDIDATE,0,0,0,0,2.66
FALSE POSITIVE,1,0,1,1,4.68
CANDIDATE,0,0,0,0,4.53
FALSE POSITIVE,0,0,1,0,21.58
CANDIDATE,0,0,0,0,12.04
CANDIDATE,0,0,0,0,4.16
CANDIDATE,0,0,0,0,3.13
FALSE POSITIVE,0,1,0,0,2.92
CANDIDATE,0,0,0,0,1.74
CANDIDATE,0,0,0,0,1.72
CANDIDATE,0,0,0,0,1.29
CANDIDATE,0,0,0,0,1.3
CANDIDATE,0,0,0,0,2.45
FALSE POSITIVE,0,0,1,0,4.14
CANDIDATE,0,0,0,0,10.51
CANDIDATE,0,0,0,0,8.95
CANDIDATE,0,0,0,0,3.52
CANDIDATE,0,0,0,0,13.16
CANDIDATE,0,0,0,0,4.87
CANDIDATE,0,0,0,0,4.78
CANDIDATE,0,0,0,0,6.96
CANDIDATE,0,0,0,0,1.85
CANDIDATE,0,0,0,0,1.9
FALSE POSITIVE,0,0,1,0,2.57
FALSE POSITIVE,0,0,1,0,10.95
CANDIDATE,0,0,0,0,4.14
CANDIDATE,0,0,0,0,2.96
CANDIDATE,0,0,0,0,13.12
CANDIDATE,0,0,0,0,2.23
CANDIDATE,0,0,0,0,1.66
CANDIDATE,0,0,0,0,2.48
CANDIDATE,0,0,0,0,2.25
CANDIDATE,0,0,0,0,1.16
CANDIDATE,0,0,0,0,0.91
CANDIDATE,0,0,0,0,1.11
CANDIDATE,0,0,0,0,4.56
CANDIDATE,0,0,0,0,2.85
CANDIDATE,0,0,0,0,3.43
CANDIDATE,0,0,0,0,2.34
CANDIDATE,0,0,0,0,1.18
CANDIDATE,0,0,0,0,10.55
CANDIDATE,0,0,0,0,1.87
CANDIDATE,0,0,0,0,1.85
CANDIDATE,0,0,0,0,1.62
CANDIDATE,0,0,0,0,1.75
FALSE POSITIVE,1,0,1,0,4.33
CANDIDATE,0,0,0,0,2.47
CANDIDATE,0,0,0,0,2.43
CANDIDATE,0,0,0,0,1.08
CANDIDATE,0,0,0,0,2.72
CANDIDATE,0,0,0,0,3.14
CANDIDATE,0,0,0,0,1.36
CANDIDATE,0,0,0,0,3.09
CANDIDATE,0,0,0,0,2.64
CANDIDATE,0,0,0,0,10.6
FALSE POSITIVE,1,0,0,1,540.37
CANDIDATE,0,0,0,0,2.68
CANDIDATE,0,0,0,0,2.42
CANDIDATE,0,0,0,0,9.66
FALSE POSITIVE,1,0,1,1,24.54
CANDIDATE,0,0,0,0,13.61
FALSE POSITIVE,1,0,0,1,3.57
CANDIDATE,0,0,0,0,13.26
FALSE POSITIVE,0,0,1,0,27.22
CANDIDATE,0,0,0,0,3.94
FALSE POSITIVE,1,0,1,0,4.37
CANDIDATE,0,0,0,0,10.98
FALSE POSITIVE,0,0,1,0,29.66
CANDIDATE,0,0,0,0,2.6
CANDIDATE,0,0,0,0,2.53
