koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr
CANDIDATE,0,0,0,0,0.55,106.7,903.0,0.473,157.05,15.9
CANDIDATE,0,0,0,0,1.59,365.3,523.0,0.036,17.69,20.9
CANDIDATE,0,0,0,0,2.32,373.1,604.0,0.49,31.54,17.1
CANDIDATE,0,0,0,0,1.86,631.7,625.0,0.348,35.99,15.6
FALSE POSITIVE,1,0,0,1,1.1,83.1,1434.0,0.499,999.6,22.5
CANDIDATE,0,0,0,0,0.73,92.9,786.0,0.148,90.19,14.4
FALSE POSITIVE,1,0,0,0,2.45,418.5,1075.0,0.413,315.8,12.8
FALSE POSITIVE,1,0,1,0,2.11,115.8,1532.0,0.654,1303.61,20.0
CANDIDATE,0,0,0,0,23.45,2651.8,1346.0,1.252,775.18,88.7
FALSE POSITIVE,1,0,0,1,1.32,259.1,2009.0,0.283,3827.79,45.2
FALSE POSITIVE,1,0,0,0,1.03,151.0,708.0,0.264,59.51,14.0
CANDIDATE,0,0,0,0,20.83,565.9,1793.0,0.073,2442.24,33.2
CANDIDATE,0,0,0,0,25.95,725.6,815.0,1.199,104.37,17.1
FALSE POSITIVE,0,0,0,1,2.35,1112.6,787.0,0.029,91.0,23.8
CANDIDATE,0,0,0,0,2.47,2312.8,314.0,0.35,2.28,106.5
CANDIDATE,0,0,0,0,2.94,389.0,715.0,0.968,61.87,21.3
CANDIDATE,0,0,0,0,1.75,336.4,733.0,0.704,68.41,15.4
CANDIDATE,0,0,0,0,1.83,369.6,678.0,0.213,49.81,15.7
CANDIDATE,0,0,0,0,0.7,75.8,985.0,0.069,222.54,16.3
FALSE POSITIVE,1,0,0,0,1.15,199.1,1134.0,0.523,390.28,15.0
CANDIDATE,0,0,0,0,1.9,610.4,458.0,0.019,10.38,179.5
FALSE POSITIVE,1,0,1,1,2.11,525.8,648.0,0.633,41.57,20.5
FALSE POSITIVE,1,0,0,0,17.94,259.6,1346.0,1.21,778.05,18.3
CANDIDATE,0,0,0,0,0.96,184.9,552.0,0.059,21.92,21.9
CANDIDATE,0,0,0,0,2.34,661.8,625.0,0.011,36.01,23.3
FALSE POSITIVE,1,0,1,1,29.27,86.3,3399.0,1.079,31471.91,28.7
CANDIDATE,0,0,0,0,1.79,301.6,949.0,0.224,191.84,19.9
CANDIDATE,0,0,0,0,1.93,371.0,843.0,0.572,119.44,14.7
CANDIDATE,0,0,0,0,1.53,145.6,1455.0,0.509,1056.15,18.4
CANDIDATE,0,0,0,0,1.59,345.2,1123.0,0.195,375.55,18.8
CANDIDATE,0,0,0,0,0.87,100.8,697.0,0.364,55.82,12.9
CANDIDATE,0,0,0,0,2.01,214.5,617.0,0.322,34.19,19.5
CANDIDATE,0,0,0,0,1.4,240.7,1883.0,0.209,2982.78,36.7
FALSE POSITIVE,0,0,1,0,46.07,110990.0,291.0,0.977,1.69,534.5
FALSE POSITIVE,0,0,1,0,24.4,29841.0,387.0,0.684,5.33,897.0
FALSE POSITIVE,0,0,1,0,59.5,348130.0,655.0,0.006,43.52,124.8
CANDIDATE,0,0,0,0,4.7,2518.7,390.0,0.242,5.47,63.1
FALSE POSITIVE,1,0,0,0,1.5,258.6,780.0,0.1,87.48,17.4
CANDIDATE,0,0,0,0,1.85,636.6,480.0,0.335,12.57,15.8
CANDIDATE,0,0,0,0,3.12,479.8,829.0,0.959,111.74,28.5
CANDIDATE,0,0,0,0,2.94,437.9,951.0,0.953,193.39,28.8
FALSE POSITIVE,1,0,0,0,1.51,370.5,818.0,0.192,105.84,16.8
CANDIDATE,0,0,0,0,1.13,188.7,907.0,0.248,159.65,19.4
CANDIDATE,0,0,0,0,2.13,1387.2,443.0,0.685,9.12,57.4
FALSE POSITIVE,1,0,0,0,18.13,535.8,683.0,1.175,51.37,24.7
FALSE POSITIVE,1,0,1,0,1.09,153.6,1119.0,0.4,369.47,15.7
CANDIDATE,0,0,0,0,0.6,42.4,1187.0,0.238,468.31,15.6
CANDIDATE,0,0,0,0,0.95,70.5,1125.0,0.07,379.09,19.2
CANDIDATE,0,0,0,0,1.66,269.4,1418.0,0.209,955.16,22.9
CANDIDATE,0,0,0,0,1.13,168.7,764.0,0.109,80.34,15.7
CANDIDATE,0,0,0,0,1.5,396.6,598.0,0.946,30.22,18.9
CANDIDATE,0,0,0,0,1.33,150.7,1083.0,0.228,324.84,15.1
CANDIDATE,0,0,0,0,0.58,48.1,941.0,0.12,185.16,15.1
CANDIDATE,0,0,0,0,2.08,181.0,834.0,0.983,114.36,20.4
FALSE POSITIVE,0,1,0,0,2.57,67.9,549.0,0.931,21.43,5.7
CANDIDATE,0,0,0,0,2.39,499.5,768.0,0.023,82.38,16.7
FALSE POSITIVE,1,0,1,1,29.55,719.1,526.0,1.262,18.15,23.6
CANDIDATE,0,0,0,0,2.6,249.1,895.0,1.0,151.72,14.9
CANDIDATE,0,0,0,0,2.59,891.6,366.0,0.024,4.26,20.4
CANDIDATE,0,0,0,0,0.72,87.3,564.0,0.086,23.89,32.4
CANDIDATE,0,0,0,0,1.93,137.6,1389.0,0.878,878.32,16.4
CANDIDATE,0,0,0,0,3.14,716.8,645.0,0.972,40.88,16.1
CANDIDATE,0,0,0,0,28.47,542.4,758.0,1.228,78.19,20.2
FALSE POSITIVE,1,0,0,0,1.33,139.1,1638.0,0.16,1704.63,14.2
CANDIDATE,0,0,0,0,1.43,47.4,1701.0,0.351,1978.53,17.8
CANDIDATE,0,0,0,0,1.21,114.6,1677.0,0.941,1867.0,16.9
CANDIDATE,0,0,0,0,2.87,506.8,348.0,0.952,3.46,14.7
CANDIDATE,0,0,1,0,12.94,1298.6,2034.0,0.915,4055.29,132.7
FALSE POSITIVE,0,0,1,0,51.34,275.3,9983.0,0.319,2335438.28,16.7
CANDIDATE,0,0,0,0,2.54,2338.0,590.0,0.59,28.75,132.1
CANDIDATE,0,0,0,0,0.79,242.1,662.0,0.872,45.34,20.7
CANDIDATE,0,0,0,0,2.66,756.7,491.0,0.913,13.77,15.0
FALSE POSITIVE,0,0,1,0,6.51,22462.0,734.0,0.099,68.34,172.2
FALSE POSITIVE,1,0,0,0,0.73,54.7,1797.0,0.402,2467.09,13.0
CANDIDATE,0,0,0,0,3.47,758.8,411.0,0.985,6.72,16.9
FALSE POSITIVE,1,0,0,0,1.51,245.5,1694.0,0.08,1940.45,22.1
FALSE POSITIVE,1,0,1,0,1.8,453.0,1252.0,0.59,579.19,24.5
CANDIDATE,0,0,0,0,1.92,290.1,1183.0,0.117,462.91,25.2
CANDIDATE,0,0,0,0,1.32,143.8,1121.0,0.176,372.7,17.1
FALSE POSITIVE,1,0,0,0,0.81,116.6,883.0,0.372,143.74,23.0
CANDIDATE,0,0,0,0,1.95,481.2,513.0,0.679,16.34,18.0
FALSE POSITIVE,0,0,0,1,24.2,227.0,2280.0,1.183,6419.35,65.3
CANDIDATE,0,0,0,0,2.25,360.7,717.0,0.969,62.51,17.6
CANDIDATE,0,0,0,0,1.75,357.3,732.0,0.911,68.05,17.7
CANDIDATE,0,0,0,0,1.57,852.8,717.0,0.187,62.42,63.6
CANDIDATE,0,0,0,0,2.64,763.8,489.0,0.835,13.5,21.4
CANDIDATE,0,0,0,0,0.98,56.1,874.0,0.182,138.25,22.4
CANDIDATE,0,0,0,0,2.42,433.4,888.0,0.603,147.13,17.0
CANDIDATE,0,0,0,0,1.24,87.6,1052.0,0.257,289.74,20.3
CANDIDATE,0,0,0,0,1.12,72.8,901.0,0.086,155.87,15.2
FALSE POSITIVE,1,1,0,1,30.39,1704.1,351.0,1.259,3.59,38.1
CANDIDATE,0,0,0,0,3.32,1120.1,496.0,0.643,14.33,34.1
CANDIDATE,0,0,0,0,2.63,487.4,1080.0,0.083,321.63,35.4
FALSE POSITIVE,0,0,1,0,44.14,45034.0,1022.0,1.147,258.12,92.0
CANDIDATE,0,0,0,0,9.52,2575.6,391.0,0.814,5.54,175.2
CANDIDATE,0,0,0,0,1.5,76.8,1019.0,0.504,255.06,17.0
CANDIDATE,0,0,0,0,1.36,68.0,1671.0,0.054,1842.18,25.5
CANDIDATE,0,0,0,0,1.01,102.6,994.0,0.121,230.81,18.5
CANDIDATE,0,0,0,0,1.0,92.9,826.0,0.557,110.03,12.7
CANDIDATE,0,0,0,0,2.53,771.5,612.0,0.78,33.14,17.2
CANDIDATE,0,0,0,0,11.97,757.0,481.0,1.085,12.62,16.0
FALSE POSITIVE,1,0,1,0,0.83,28.7,2291.0,0.708,6522.69,21.7
CANDIDATE,0,0,0,0,1.94,366.7,881.0,0.895,142.39,15.2
CANDIDATE,0,0,0,0,1.25,224.9,774.0,0.8,84.65,20.6
CANDIDATE,0,0,0,0,2.88,573.3,774.0,0.813,84.94,18.9
CANDIDATE,0,0,0,0,2.41,297.3,627.0,0.048,36.5,15.4
CANDIDATE,0,0,0,0,1.95,773.6,355.0,0.021,3.76,15.7
CANDIDATE,0,0,0,0,1.52,187.5,1035.0,0.054,271.68,15.6
CANDIDATE,0,0,0,0,1.61,211.2,901.0,0.083,155.85,15.3
CANDIDATE,0,0,0,0,1.35,174.1,614.0,0.384,33.69,15.7
FALSE POSITIVE,0,0,0,1,1.19,123.3,1728.0,0.415,2107.29,14.0
FALSE POSITIVE,1,0,1,1,1.62,413.6,437.0,0.79,8.59,23.4
CANDIDATE,0,0,0,0,2.34,795.8,591.0,0.198,28.85,19.9
CANDIDATE,0,0,0,0,1.55,261.4,646.0,0.871,41.08,15.3
CANDIDATE,0,0,0,0,1.06,136.2,892.0,0.971,149.88,22.5
CANDIDATE,0,0,0,0,1.19,163.4,1046.0,0.077,282.97,14.3
CANDIDATE,0,0,0,0,3.28,912.8,639.0,0.927,39.48,26.7
CANDIDATE,0,0,0,0,3.41,736.1,474.0,0.905,11.94,19.7
CANDIDATE,0,0,0,0,1.86,326.0,690.0,0.533,53.44,21.6
FALSE POSITIVE,0,0,1,0,2.01,458.1,703.0,0.045,57.85,16.9
FALSE POSITIVE,1,0,0,0,1.33,168.9,1179.0,0.535,456.83,12.2
CANDIDATE,0,0,0,0,0.55,85.4,1008.0,0.35,245.15,19.1
CANDIDATE,0,0,0,0,3.28,778.6,776.0,0.965,85.78,20.1
CANDIDATE,0,0,0,0,2.75,1023.8,503.0,0.899,15.19,21.2
CANDIDATE,0,0,0,0,1.53,813.8,371.0,0.014,4.48,27.6
CANDIDATE,0,0,0,0,0.8,245.3,529.0,0.425,18.6,11.8
FALSE POSITIVE,1,0,0,0,1.64,128.2,1548.0,0.664,1359.14,42.9
CANDIDATE,0,0,0,0,1.58,240.6,796.0,0.07,94.94,16.5
CANDIDATE,0,0,0,0,1.77,136.7,563.0,0.284,23.81,21.1
CANDIDATE,0,0,0,0,16.25,526.8,558.0,1.185,22.91,14.8
FALSE POSITIVE,0,0,1,0,20.75,582.3,585.0,1.16,27.65,20.2
CANDIDATE,0,0,0,0,1.59,272.2,990.0,0.023,227.07,17.3
FALSE POSITIVE,1,0,0,1,1.35,258.5,871.0,0.523,136.02,15.7
FALSE POSITIVE,1,0,1,0,1.38,39.7,3834.0,0.52,51080.76,21.6
CANDIDATE,0,0,0,0,1.56,177.8,1191.0,0.093,475.39,17.7
CANDIDATE,0,0,0,0,0.84,659.7,608.0,0.882,32.46,23.2
FALSE POSITIVE,0,0,1,1,1.04,145.6,1565.0,0.688,1419.52,17.6
FALSE POSITIVE,0,0,0,1,1.77,305.7,1118.0,0.051,369.34,13.2
FALSE POSITIVE,1,0,1,0,24.49,452.7,744.0,1.194,72.36,16.4
CANDIDATE,0,0,0,0,1.45,55.7,1839.0,0.001,2708.57,15.9
CANDIDATE,0,0,0,0,2.5,187.8,657.0,0.851,44.17,22.5
CANDIDATE,0,0,0,0,1.96,752.7,523.0,0.105,17.73,19.8
CANDIDATE,0,0,0,0,2.27,488.4,760.0,0.911,79.1,17.3
CANDIDATE,0,0,0,0,3.34,89.5,1598.0,0.35,1540.84,26.1
CANDIDATE,0,0,0,0,1.62,128.3,1484.0,0.839,1148.47,23.8
FALSE POSITIVE,1,0,0,1,1.3,417.5,1309.0,0.007,696.63,62.8
CANDIDATE,0,0,0,0,2.07,248.2,2131.0,0.677,4879.62,31.1
CANDIDATE,0,0,0,0,1.84,66.8,2017.0,0.238,3906.36,14.2
FALSE POSITIVE,1,0,0,1,1.26,200.8,975.0,0.403,213.15,15.3
FALSE POSITIVE,1,0,0,0,39.8,398.9,916.0,1.095,166.36,17.8
FALSE POSITIVE,1,0,1,0,2.74,1282.6,406.0,0.074,6.44,19.9
CANDIDATE,0,0,0,0,28.42,468.0,827.0,1.187,110.79,13.0
CANDIDATE,0,0,0,0,1.87,315.5,1542.0,0.133,1333.35,24.5
FALSE POSITIVE,0,0,1,0,82.46,123520.0,1413.0,0.938,939.61,2619.2
CANDIDATE,0,0,0,0,1.63,277.1,1043.0,0.734,279.53,19.0
CANDIDATE,0,0,0,0,1.51,311.0,554.0,0.951,22.24,16.0
CANDIDATE,0,0,0,0,2.47,786.7,676.0,0.68,49.26,22.6
CANDIDATE,0,0,0,0,1.75,70.7,1097.0,0.687,342.49,27.1
CANDIDATE,0,0,0,0,1.04,75.7,1035.0,0.486,271.25,18.8
CANDIDATE,0,0,0,0,1.39,79.1,1222.0,0.94,527.11,10.7
CANDIDATE,0,0,0,0,2.96,462.8,386.0,0.988,5.23,13.5
CANDIDATE,0,0,0,0,2.43,382.3,542.0,0.829,20.36,19.6
CANDIDATE,0,0,0,0,1.46,388.8,420.0,0.24,7.33,15.8
CANDIDATE,0,0,0,0,1.57,1826.9,374.0,0.068,4.62,112.2
CANDIDATE,0,0,0,0,2.74,104.2,1065.0,0.693,304.22,23.6
CANDIDATE,0,0,0,0,2.64,2292.1,362.0,0.715,4.07,80.1
FALSE POSITIVE,1,0,0,0,1.62,465.6,1324.0,0.208,728.99,26.4
CANDIDATE,0,0,0,0,2.41,900.7,417.0,0.275,7.12,13.2
CANDIDATE,0,0,0,0,1.49,240.0,1098.0,0.204,343.6,15.9
FALSE POSITIVE,1,0,1,1,1.8,796.9,1589.0,0.068,1504.24,59.8
CANDIDATE,0,0,0,0,5.53,3714.7,880.0,0.05,141.3,288.6
FALSE POSITIVE,1,0,0,1,0.99,112.7,988.0,0.657,225.07,29.2
CANDIDATE,0,0,0,0,1.33,140.3,684.0,0.603,51.7,24.0
CANDIDATE,0,0,0,0,3.21,124.1,1159.0,0.224,425.93,25.4
CANDIDATE,0,0,0,0,1.4,205.2,899.0,0.337,154.52,15.4
FALSE POSITIVE,1,0,0,0,0.72,68.1,1597.0,0.665,1538.25,19.2
FALSE POSITIVE,1,0,1,0,1.25,172.0,1106.0,0.4,353.34,21.2
CANDIDATE,0,0,0,0,0.88,204.5,830.0,0.085,112.21,21.4
CANDIDATE,0,0,0,0,0.91,219.7,515.0,0.03,16.64,14.9
CANDIDATE,0,0,0,0,2.21,346.5,1140.0,0.015,398.33,289.6
FALSE POSITIVE,1,0,0,1,1.07,97.8,1155.0,0.403,420.53,16.0
FALSE POSITIVE,1,0,0,0,1.57,420.6,998.0,0.115,234.19,17.5
CANDIDATE,0,0,0,0,3.36,72.6,1425.0,0.873,973.85,20.6
CANDIDATE,0,0,0,0,0.67,357.4,849.0,0.153,122.92,20.4
CANDIDATE,0,0,0,0,1.37,290.5,1344.0,0.286,772.73,21.4
CANDIDATE,0,0,0,0,1.43,325.8,739.0,0.595,70.63,14.9
FALSE POSITIVE,1,0,0,0,1.36,189.9,763.0,0.747,80.08,17.0
CANDIDATE,0,0,0,0,1.71,323.0,1195.0,0.001,482.56,17.9
CANDIDATE,0,0,0,0,2.27,575.0,645.0,0.883,41.04,17.5
FALSE POSITIVE,1,0,0,0,1.97,359.5,934.0,0.42,179.79,19.0
CANDIDATE,0,0,0,0,1.32,302.5,848.0,0.072,122.02,22.2
FALSE POSITIVE,1,0,0,0,2.46,488.3,793.0,0.319,93.34,20.4
CANDIDATE,0,0,0,0,1.47,420.7,632.0,0.595,37.81,20.0
CANDIDATE,0,0,0,0,91.91,165.9,3766.0,1.13,47688.8,37.1
CANDIDATE,0,0,0,0,0.89,105.1,1246.0,0.405,571.25,17.7
CANDIDATE,0,0,0,0,1.15,137.9,1049.0,0.616,286.32,17.6
CANDIDATE,0,0,0,0,2.34,915.9,284.0,0.069,1.54,23.9
FALSE POSITIVE,1,0,0,1,1.08,74.8,1496.0,0.76,1187.26,29.3
CANDIDATE,0,0,0,0,1.66,217.1,542.0,0.922,20.35,16.1
CANDIDATE,0,0,0,0,2.38,652.7,573.0,0.021,25.54,18.3
CANDIDATE,0,0,0,0,1.42,38.0,1384.0,0.699,865.81,20.9
FALSE POSITIVE,1,0,0,0,1.13,100.7,1843.0,0.62,2729.71,17.4
CANDIDATE,0,0,0,0,1.48,215.1,946.0,0.163,188.93,18.4
CANDIDATE,0,0,0,0,19.1,272.4,5171.0,0.281,168151.39,8.1
CANDIDATE,0,0,0,0,2.83,2794.7,431.0,0.047,8.14,137.2
CANDIDATE,0,0,0,0,2.73,2313.2,530.0,0.197,18.73,64.4
CANDIDATE,0,0,0,0,0.92,53.6,1183.0,0.45,462.81,13.2
CANDIDATE,0,0,0,0,3.52,945.9,401.0,0.226,6.09,20.7
CANDIDATE,0,0,0,0,1.37,281.0,1029.0,0.306,264.63,11.4
CANDIDATE,0,0,0,0,1.58,913.3,242.0,0.953,0.81,17.0
CANDIDATE,0,0,0,0,2.21,700.4,756.0,0.059,77.43,18.5
FALSE POSITIVE,1,0,1,1,9.16,5423.5,1385.0,0.909,868.86,222.8
CANDIDATE,0,0,0,0,1.51,605.8,359.0,0.571,3.92,21.0
CANDIDATE,0,0,0,0,1.54,259.5,557.0,0.88,22.73,19.7
CANDIDATE,0,0,0,0,1.32,116.6,872.0,0.225,136.61,16.3
CANDIDATE,0,0,0,0,2.07,351.5,1431.0,0.206,993.79,23.0
CANDIDATE,0,0,0,0,1.84,371.9,1047.0,0.761,283.66,18.0
FALSE POSITIVE,1,0,0,1,1.27,197.7,897.0,0.479,153.07,17.2
FALSE POSITIVE,1,0,1,1,1.01,261.8,942.0,0.059,186.39,35.9
CANDIDATE,0,0,0,0,0.91,55.0,941.0,0.54,185.15,32.2
FALSE POSITIVE,1,0,0,0,0.99,185.3,987.0,0.325,224.45,13.6
CANDIDATE,0,0,0,0,1.98,441.2,683.0,0.57,51.44,17.3
CANDIDATE,0,0,0,0,1.53,479.1,537.0,0.263,19.62,13.8
CANDIDATE,0,0,0,0,1.32,107.4,1368.0,0.217,828.52,12.8
CANDIDATE,0,0,0,0,2.4,885.4,330.0,0.347,2.79,18.1
CANDIDATE,0,0,0,0,3.24,108.5,1285.0,0.892,645.64,14.1
CANDIDATE,0,0,0,0,1.27,83.2,1790.0,0.415,2432.14,17.4
FALSE POSITIVE,1,0,1,1,1.82,298.1,843.0,0.909,119.26,18.9
CANDIDATE,0,0,0,0,1.59,170.2,508.0,0.928,15.74,21.4
CANDIDATE,0,0,0,0,1.36,45.9,1373.0,0.201,839.5,22.0
CANDIDATE,0,0,0,0,1.65,169.1,1378.0,0.979,852.78,15.3
FALSE POSITIVE,1,0,0,0,25.5,137.3,3165.0,1.1,23715.46,41.6
CANDIDATE,0,0,0,0,3.76,222.8,1453.0,0.427,1054.63,21.3
CANDIDATE,0,0,0,0,2.13,203.1,809.0,0.865,101.22,23.7
CANDIDATE,0,0,0,0,2.11,505.4,369.0,0.613,4.39,22.5
CANDIDATE,0,0,0,0,2.66,403.6,822.0,0.877,108.07,19.3
FALSE POSITIVE,1,1,0,1,2.12,257.9,741.0,0.977,71.19,62.2
CANDIDATE,0,0,0,0,2.11,138.6,772.0,0.44,84.0,28.4
CANDIDATE,0,0,0,0,2.44,436.3,487.0,0.957,13.27,14.1
CANDIDATE,0,0,0,0,1.44,221.5,665.0,0.886,46.3,16.3
CANDIDATE,0,0,0,0,0.92,85.9,1112.0,0.885,361.27,18.1
CANDIDATE,0,0,0,0,0.77,78.0,879.0,0.531,141.12,12.7
CANDIDATE,0,0,0,0,2.73,1033.0,289.0,0.109,1.65,17.3
CANDIDATE,0,0,0,0,1.73,2754.6,648.0,0.003,41.85,48.6
CANDIDATE,0,0,0,0,1.72,2355.0,436.0,0.719,8.54,25.4
FALSE POSITIVE,1,0,1,1,1.37,134.7,2190.0,0.792,5461.14,27.0
FALSE POSITIVE,1,0,0,0,13.96,1224.1,1807.0,1.128,2508.21,79.6
CANDIDATE,0,0,0,0,25.82,210.2,1205.0,1.261,499.07,18.5
CANDIDATE,0,0,0,0,1.48,142.0,1011.0,0.662,246.9,15.4
CANDIDATE,0,0,0,0,2.4,421.8,584.0,0.049,27.58,110.5
FALSE POSITIVE,1,0,1,1,3.82,447.8,455.0,0.989,10.13,20.5
CANDIDATE,0,0,0,0,2.72,1992.3,202.0,0.037,0.39,36.1
CANDIDATE,0,0,0,0,2.51,351.2,475.0,0.535,12.07,81.9
CANDIDATE,0,0,0,0,1.56,6462.0,341.0,0.706,3.18,50.5
CANDIDATE,0,0,0,0,0.92,2598.0,401.0,0.45,6.12,24.3
CANDIDATE,0,0,0,0,1.24,631.8,557.0,0.92,22.75,37.1
FALSE POSITIVE,0,0,1,0,1.08,239.2,1676.0,0.288,1873.28,26.8
CANDIDATE,0,0,0,0,1.19,467.9,795.0,0.157,94.26,21.7
FALSE POSITIVE,1,0,0,0,1.74,85.5,1783.0,0.738,2387.41,27.8
FALSE POSITIVE,1,0,1,1,77.12,219.5,3384.0,1.149,30903.98,48.2
FALSE POSITIVE,1,0,0,0,1.06,152.6,1162.0,0.08,431.75,15.5
CANDIDATE,0,0,0,0,0.93,224.9,998.0,0.071,234.92,17.7
FALSE POSITIVE,1,0,0,1,0.88,202.2,1229.0,0.022,537.85,13.9
CANDIDATE,0,0,0,0,1.55,75.1,894.0,0.921,150.64,23.9
CANDIDATE,0,0,0,0,1.46,107.3,884.0,0.613,144.45,22.0
CANDIDATE,0,0,0,0,1.02,133.1,897.0,0.26,153.48,16.1
CANDIDATE,0,0,0,0,1.49,361.2,604.0,0.017,31.48,10.6
FALSE POSITIVE,1,0,1,0,0.76,140.6,1801.0,0.328,2487.04,17.1
CANDIDATE,0,0,0,0,1.19,237.4,835.0,0.319,114.94,15.3
CANDIDATE,0,0,0,0,0.87,126.8,1123.0,0.033,374.78,16.7
CANDIDATE,0,0,0,0,2.21,1617.1,434.0,0.291,8.39,23.8
CANDIDATE,0,0,0,0,1.75,83.3,1782.0,0.408,2380.18,14.6
CANDIDATE,0,0,0,0,3.21,807.1,486.0,0.021,13.17,34.9
CANDIDATE,0,0,0,0,1.68,221.2,773.0,0.013,84.28,15.2
CANDIDATE,0,0,0,0,2.69,474.8,630.0,0.713,37.15,20.0
FALSE POSITIVE,0,0,0,1,1.52,488.5,1389.0,0.135,880.33,27.3
FALSE POSITIVE,0,0,1,1,1.46,166.2,1743.0,0.617,2180.25,43.4
CANDIDATE,0,0,0,0,2.11,1248.7,200.0,0.008,0.38,24.3
CANDIDATE,0,0,0,0,1.3,68.7,1155.0,0.696,420.97,38.2
FALSE POSITIVE,1,0,1,0,1.07,160.4,1635.0,0.141,1691.99,15.5
CANDIDATE,0,0,0,0,2.27,356.8,1129.0,0.92,382.68,13.9
CANDIDATE,0,0,0,0,1.5,150.9,1583.0,0.932,1488.51,9.7
CANDIDATE,0,0,0,0,1.36,200.7,2085.0,0.03,4473.06,22.4
CANDIDATE,0,0,0,0,1.12,181.9,1350.0,0.167,782.45,18.9
CANDIDATE,0,0,0,0,2.31,496.6,674.0,0.019,48.81,17.1
FALSE POSITIVE,1,0,0,1,1.24,217.3,597.0,0.514,29.95,17.0
FALSE POSITIVE,1,0,1,1,1.49,285.7,729.0,0.729,66.74,18.6
FALSE POSITIVE,1,0,1,0,0.83,133.7,1429.0,0.338,987.44,14.3
CANDIDATE,0,0,0,0,3.54,501.6,926.0,0.017,174.1,194.9
FALSE POSITIVE,1,0,1,0,2.82,599.8,618.0,0.958,34.56,7.5
FALSE POSITIVE,1,0,0,0,1.07,157.6,1539.0,0.214,1320.65,38.7
CANDIDATE,0,0,0,0,1.51,125.5,790.0,0.557,92.0,43.5
CANDIDATE,0,0,0,0,1.62,214.6,939.0,0.014,183.39,23.5
CANDIDATE,0,0,0,0,1.43,159.0,755.0,0.489,76.86,13.5
FALSE POSITIVE,1,0,0,1,1.91,134.9,2563.0,0.701,10224.99,12.3
FALSE POSITIVE,1,0,1,0,1.57,269.7,1864.0,0.41,2857.19,25.3
FALSE POSITIVE,1,0,1,1,8.91,8043.0,1342.0,0.069,766.49,43.2
CANDIDATE,0,0,0,0,27.21,670.0,673.0,1.25,48.33,19.1
FALSE POSITIVE,1,0,0,0,1.03,125.9,1815.0,0.467,2556.97,17.9
FALSE POSITIVE,1,0,0,1,1.11,197.0,1182.0,0.564,462.26,21.9
FALSE POSITIVE,1,1,0,1,1.38,168.0,1999.0,0.694,3759.62,76.4
CANDIDATE,0,0,0,0,1.3,144.4,1628.0,0.413,1659.74,19.8
CANDIDATE,0,0,0,0,2.88,694.4,667.0,0.196,46.82,20.1
CANDIDATE,0,0,0,0,2.12,185.3,770.0,0.914,82.92,19.9
FALSE POSITIVE,0,0,1,0,4.52,525.5,2215.0,0.926,5673.71,196.4
CANDIDATE,0,0,0,0,1.33,79.7,1075.0,0.862,315.02,14.2
CANDIDATE,0,0,0,0,2.17,538.0,300.0,0.947,1.93,20.5
FALSE POSITIVE,1,0,0,1,2.12,503.9,1147.0,0.591,408.84,13.6
FALSE POSITIVE,0,0,1,0,22.19,2951.0,240.0,1.257,0.78,18.9
CANDIDATE,0,0,0,0,1.54,209.2,681.0,0.168,50.86,15.5
CANDIDATE,0,0,0,0,1.26,142.0,934.0,0.725,180.05,13.7
CANDIDATE,0,0,0,0,1.77,145.0,1138.0,0.795,396.33,11.9
FALSE POSITIVE,1,0,1,0,1.72,645.8,483.0,0.347,12.88,25.1
CANDIDATE,0,0,0,0,1.84,178.5,889.0,0.7,147.78,39.0
CANDIDATE,0,0,0,0,2.1,263.4,598.0,0.189,30.22,36.2
CANDIDATE,0,0,0,0,4.04,6057.0,408.0,0.594,6.52,65.6
CANDIDATE,0,0,0,0,1.7,285.1,1283.0,0.796,638.56,22.1
CANDIDATE,0,0,0,0,1.88,431.0,559.0,0.626,23.05,23.7
CANDIDATE,0,0,0,0,1.88,345.3,1294.0,0.091,661.69,20.0
FALSE POSITIVE,1,0,0,0,1.31,41.7,2158.0,0.234,5140.67,18.0
CANDIDATE,0,0,0,0,3.02,489.8,473.0,0.014,11.82,108.9
CANDIDATE,0,0,0,0,0.7,83.5,1015.0,0.704,251.24,15.6
CANDIDATE,0,0,0,0,0.65,59.5,1216.0,0.874,516.85,13.9
CANDIDATE,0,0,0,0,0.57,59.3,944.0,0.534,187.43,11.1
FALSE POSITIVE,1,0,0,0,1.4,176.7,1565.0,0.456,1417.56,17.2
CANDIDATE,0,0,0,0,1.64,1003.4,316.0,0.489,2.35,12.1
CANDIDATE,0,0,0,0,1.93,476.8,714.0,0.136,61.42,20.1
CANDIDATE,0,0,0,0,1.02,51.0,886.0,0.849,145.67,19.0
CANDIDATE,0,0,0,0,1.04,52.4,985.0,0.726,222.53,11.8
CANDIDATE,0,0,0,0,0.67,59.1,1249.0,0.258,574.37,11.9
FALSE POSITIVE,1,0,0,1,1.21,140.4,1519.0,0.564,1254.94,13.5
CANDIDATE,0,0,0,0,2.1,1839.1,697.0,0.048,55.76,36.0
CANDIDATE,0,0,0,0,1.78,1316.0,509.0,0.166,15.84,20.5
CANDIDATE,0,0,0,0,1.52,303.5,1666.0,0.736,1828.67,31.6
