koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr
CANDIDATE,0,0,0,0,2.59,1123.5,751.0,0.022,75.44,47.6
CANDIDATE,0,0,0,0,2.36,931.3,390.0,0.094,5.49,20.1
CANDIDATE,0,0,0,0,7.4,6105.6,753.0,0.55,76.15,277.2
FALSE POSITIVE,0,0,1,0,46.58,1976.3,1920.0,1.268,3209.29,112.6
FALSE POSITIVE,1,0,1,0,28.59,871.7,876.0,1.215,139.26,38.2
CANDIDATE,0,0,0,0,2.06,382.1,1332.0,0.238,743.09,38.9
CANDIDATE,0,0,0,0,2.77,1304.0,812.0,0.838,102.87,50.8
FALSE POSITIVE,1,0,1,1,27.51,10967.0,1836.0,1.258,2706.26,299.7
CANDIDATE,0,0,0,0,7.73,5741.1,812.0,0.92,102.91,183.6
CANDIDATE,0,0,0,0,1.96,1494.7,361.0,0.556,4.0,35.2
CANDIDATE,0,0,0,0,1.83,1394.7,273.0,0.013,1.32,26.0
CANDIDATE,0,0,0,0,1.31,104.0,649.0,0.95,41.94,17.1
CANDIDATE,0,0,0,0,1.2,520.8,494.0,0.708,14.05,15.9
CANDIDATE,0,0,0,0,7.34,8544.8,1005.0,0.524,241.62,370.8
CANDIDATE,0,0,0,0,2.32,986.8,536.0,0.4,19.45,32.1
CANDIDATE,0,0,0,0,9.73,7969.0,1579.0,0.076,1467.41,799.7
CANDIDATE,0,0,0,0,13.6,21725.0,643.0,0.458,40.39,340.5
FALSE POSITIVE,1,1,0,0,17.47,322.6,838.0,1.175,116.46,14.2
CANDIDATE,0,0,0,0,2.57,1019.8,757.0,0.024,77.75,53.9
FALSE POSITIVE,0,0,1,0,13.28,16918.0,843.0,0.281,119.31,636.8
CANDIDATE,0,0,0,0,8.9,10566.0,308.0,0.379,2.14,138.8
CANDIDATE,0,0,0,0,0.79,55.8,1021.0,0.646,256.35,14.4
CANDIDATE,0,0,0,0,12.19,20280.0,411.0,0.224,6.77,347.2
FALSE POSITIVE,1,0,0,1,25.69,816.1,1470.0,1.225,1105.68,38.8
