koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
FALSE POSITIVE,0,0,1,0,0.49402497614397517,0
CANDIDATE,0,0,0,0,-0.08471841434097338,2
FALSE POSITIVE,1,1,0,1,0.015194209075895521,5
CANDIDATE,0,0,0,0,-0.06062146347199153,2
FALSE POSITIVE,0,0,1,1,-0.08785870847017581,8
FALSE POSITIVE,0,0,1,0,-0.0875703141113715,0
CANDIDATE,0,0,0,0,-0.08125768203532174,2
FALSE POSITIVE,0,0,1,0,0.07883323091871199,0
CANDIDATE,0,0,0,0,-0.06696613936568623,2
CANDIDATE,0,0,0,0,-0.07577818921803996,2
CANDIDATE,0,0,0,0,-0.07943118442956114,2
CANDIDATE,0,0,0,0,-0.0816422078470608,2
CANDIDATE,0,0,0,0,-0.08343666163517648,2
FALSE POSITIVE,1,1,0,0,-0.06148664654840444,3
FALSE POSITIVE,1,0,1,1,-0.07218928164180861,8
FALSE POSITIVE,0,0,1,0,0.21876858257408932,0
FALSE POSITIVE,0,1,0,0,0.2028107613869178,4
FALSE POSITIVE,0,0,1,0,0.22508121465013908,0
CANDIDATE,0,0,0,0,-0.08449410761745892,2
FALSE POSITIVE,1,1,0,1,-0.08231512801760418,5
CANDIDATE,0,0,0,0,-0.08221899656466942,2
CANDIDATE,0,0,0,0,-0.08449410761745892,2
FALSE POSITIVE,0,1,0,0,0.06809855200766288,4
FALSE POSITIVE,0,0,1,0,0.04544357293270254,0
CANDIDATE,0,0,0,0,-0.07859804517079315,2
FALSE POSITIVE,1,0,1,1,-0.083628924541046,8
CANDIDATE,0,0,0,0,-0.0809372438588725,2
CANDIDATE,0,0,0,0,-0.08577586032325583,2
FALSE POSITIVE,1,0,1,0,-0.01957333306884558,7
CANDIDATE,0,0,0,0,-0.08218695274702449,2
FALSE POSITIVE,0,1,0,0,-0.08324439872930693,4
CANDIDATE,0,0,0,0,-0.08161016402941589,2
FALSE POSITIVE,1,0,1,1,-0.006980112734390967,8
CANDIDATE,0,0,0,0,-0.08180242693528542,2
FALSE POSITIVE,0,1,0,0,-0.08128972585296665,4
CANDIDATE,0,0,0,0,-0.0867051310349586,2
CANDIDATE,0,0,0,0,-0.07955935970014083,2
FALSE POSITIVE,0,1,0,0,-0.08513498397035738,4
FALSE POSITIVE,0,1,0,1,-0.08734600738785704,4
FALSE POSITIVE,0,0,1,0,0.11741398736319889,0
FALSE POSITIVE,0,0,1,0,0.07002118106635824,0
CANDIDATE,0,0,0,0,-0.07981571024130021,2
CANDIDATE,0,0,0,0,-0.0813538134882565,2
CANDIDATE,0,0,0,0,-0.05212985179608702,2
FALSE POSITIVE,0,1,0,0,-0.06465898449525177,4
FALSE POSITIVE,1,0,0,0,-0.08590403559383553,3
FALSE POSITIVE,0,0,1,0,-0.011946904469353974,0
FALSE POSITIVE,0,1,0,1,-0.05501379538413006,4
CANDIDATE,0,0,0,0,-0.08388527508220539,2
FALSE POSITIVE,0,0,1,0,-0.025885965144895343,0
FALSE POSITIVE,0,0,1,0,0.1501307251786649,0
FALSE POSITIVE,1,0,1,1,0.7178189985761152,8
FALSE POSITIVE,1,0,0,1,-0.08539133451151676,5
CANDIDATE,0,0,0,0,-0.02835333910355439,2
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,3
FALSE POSITIVE,0,0,1,0,0.07505206043661111,0
FALSE POSITIVE,1,1,0,1,-0.012010992104643818,5
CANDIDATE,0,0,0,0,-0.06927329423612065,2
FALSE POSITIVE,1,0,1,0,-0.08500680869977768,7
FALSE POSITIVE,0,1,0,1,-0.07356716580054029,4
CANDIDATE,0,0,0,0,-0.08237921565289402,2
CANDIDATE,0,0,0,0,-0.0857438165056109,2
CANDIDATE,0,0,0,0,-0.07939914061191622,2
CANDIDATE,0,0,0,0,-0.08279578528227803,2
FALSE POSITIVE,0,0,1,0,0.06819468346059765,0
CANDIDATE,0,0,0,0,-0.08471841434097338,2
FALSE POSITIVE,0,1,0,0,-0.0861603861349949,4
FALSE POSITIVE,1,0,1,1,-0.005506097122724522,8
CANDIDATE,0,0,0,0,-0.0826355661940534,2
CANDIDATE,0,0,0,0,-0.08119359440003189,2
CANDIDATE,0,0,0,0,-0.0843338885292343,2
FALSE POSITIVE,0,1,0,0,0.02554436217520556,4
FALSE POSITIVE,1,0,0,0,-0.08491067724684291,3
CANDIDATE,0,0,0,0,-0.08689739394082813,2
CANDIDATE,0,0,0,0,-0.08237921565289402,2
FALSE POSITIVE,0,0,1,0,1.0182938766325549,0
FALSE POSITIVE,0,0,1,0,0.06922008562523518,0
CANDIDATE,0,0,0,0,-0.08116155058238697,2
CANDIDATE,0,0,0,0,-0.08811505901133518,2
FALSE POSITIVE,0,0,1,0,0.036086778180385116,0
FALSE POSITIVE,0,0,1,0,0.03659947926270389,0
FALSE POSITIVE,0,1,0,0,-0.03908801801460349,4
CANDIDATE,0,0,0,0,-0.08583994795854567,2
FALSE POSITIVE,0,0,1,0,0.003337996547274143,0
CANDIDATE,0,0,0,0,-0.07843782608256854,2
CANDIDATE,0,0,0,0,-0.08443001998216908,2
FALSE POSITIVE,0,0,1,0,0.3512697685358446,0
CANDIDATE,0,0,0,0,-0.08558359741738629,2
CANDIDATE,0,0,0,0,-0.08173833929999558,2
FALSE POSITIVE,1,0,1,1,0.053774965520382446,8
FALSE POSITIVE,1,0,0,1,-0.019861727427649883,5
CANDIDATE,0,0,0,0,-0.08612834231734998,2
CANDIDATE,0,0,0,0,-0.08423775707629955,2
FALSE POSITIVE,1,0,1,1,-0.08683330630553827,8
CANDIDATE,0,0,0,0,-0.08507089633506752,2
CANDIDATE,0,0,0,0,-0.08446206379981401,2
CANDIDATE,0,0,0,0,-0.08151403257648111,2
CANDIDATE,0,0,0,0,-0.08295600437050263,2
CANDIDATE,0,0,0,0,-0.08167425166470572,2
FALSE POSITIVE,1,1,0,0,-0.08648082431144413,3
FALSE POSITIVE,0,0,1,0,-0.034313489185510006,0
CANDIDATE,0,0,0,0,-0.0796554911530756,2
CANDIDATE,0,0,0,0,-0.08167425166470572,2
FALSE POSITIVE,1,0,0,1,-0.08667308721731366,5
CANDIDATE,0,0,0,0,-0.05299503487249992,2
FALSE POSITIVE,0,0,1,0,-0.049918828378587354,0
CANDIDATE,0,0,0,0,-0.05578284700760821,2
CANDIDATE,0,0,0,0,-0.04584926353768217,2
