koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
FALSE POSITIVE,0,0,1,0,0.21876858257408932,2
FALSE POSITIVE,0,1,0,0,0.2028107613869178,3
FALSE POSITIVE,0,0,1,0,0.22508121465013908,2
CANDIDATE,0,0,0,0,-0.08449410761745892,3
FALSE POSITIVE,1,1,0,1,-0.08231512801760418,0
CANDIDATE,0,0,0,0,-0.08221899656466942,3
CANDIDATE,0,0,0,0,-0.08449410761745892,3
FALSE POSITIVE,0,1,0,0,0.06809855200766288,3
FALSE POSITIVE,0,0,1,0,0.04544357293270254,2
CANDIDATE,0,0,0,0,-0.07859804517079315,3
FALSE POSITIVE,1,0,1,1,-0.083628924541046,0
CANDIDATE,0,0,0,0,-0.0809372438588725,3
CANDIDATE,0,0,0,0,-0.08577586032325583,3
FALSE POSITIVE,1,0,1,0,-0.01957333306884558,2
CANDIDATE,0,0,0,0,-0.08218695274702449,3
FALSE POSITIVE,0,1,0,0,-0.08324439872930693,3
CANDIDATE,0,0,0,0,-0.08161016402941589,3
FALSE POSITIVE,1,0,1,1,-0.006980112734390967,0
CANDIDATE,0,0,0,0,-0.08180242693528542,3
FALSE POSITIVE,0,1,0,0,-0.08128972585296665,3
CANDIDATE,0,0,0,0,-0.0867051310349586,3
CANDIDATE,0,0,0,0,-0.07955935970014083,3
FALSE POSITIVE,0,1,0,0,-0.08513498397035738,3
FALSE POSITIVE,0,1,0,1,-0.08734600738785704,0
FALSE POSITIVE,0,0,1,0,0.11741398736319889,2
FALSE POSITIVE,0,0,1,0,0.07002118106635824,2
CANDIDATE,0,0,0,0,-0.07981571024130021,3
CANDIDATE,0,0,0,0,-0.0813538134882565,3
CANDIDATE,0,0,0,0,-0.05212985179608702,3
FALSE POSITIVE,0,1,0,0,-0.06465898449525177,3
FALSE POSITIVE,1,0,0,0,-0.08590403559383553,3
FALSE POSITIVE,0,0,1,0,-0.011946904469353974,2
FALSE POSITIVE,0,1,0,1,-0.05501379538413006,0
CANDIDATE,0,0,0,0,-0.08388527508220539,3
FALSE POSITIVE,0,0,1,0,-0.025885965144895343,2
FALSE POSITIVE,0,0,1,0,0.1501307251786649,2
FALSE POSITIVE,1,0,1,1,0.7178189985761152,0
FALSE POSITIVE,1,0,0,1,-0.08539133451151676,0
CANDIDATE,0,0,0,0,-0.02835333910355439,3
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,3
FALSE POSITIVE,0,0,1,0,0.07505206043661111,2
FALSE POSITIVE,1,1,0,1,-0.012010992104643818,0
CANDIDATE,0,0,0,0,-0.06927329423612065,3
FALSE POSITIVE,1,0,1,0,-0.08500680869977768,2
FALSE POSITIVE,0,1,0,1,-0.07356716580054029,0
CANDIDATE,0,0,0,0,-0.08237921565289402,3
CANDIDATE,0,0,0,0,-0.0857438165056109,3
CANDIDATE,0,0,0,0,-0.07939914061191622,3
CANDIDATE,0,0,0,0,-0.08279578528227803,3
FALSE POSITIVE,0,0,1,0,0.06819468346059765,2
CANDIDATE,0,0,0,0,-0.08471841434097338,3
FALSE POSITIVE,0,1,0,0,-0.0861603861349949,3
FALSE POSITIVE,1,0,1,1,-0.005506097122724522,0
CANDIDATE,0,0,0,0,-0.0826355661940534,3
CANDIDATE,0,0,0,0,-0.08119359440003189,3
CANDIDATE,0,0,0,0,-0.0843338885292343,3
FALSE POSITIVE,0,1,0,0,0.02554436217520556,3
FALSE POSITIVE,1,0,0,0,-0.08491067724684291,3
CANDIDATE,0,0,0,0,-0.08689739394082813,3
CANDIDATE,0,0,0,0,-0.08237921565289402,3
FALSE POSITIVE,0,0,1,0,1.0182938766325549,2
FALSE POSITIVE,0,0,1,0,0.06922008562523518,2
CANDIDATE,0,0,0,0,-0.08116155058238697,3
CANDIDATE,0,0,0,0,-0.08811505901133518,3
FALSE POSITIVE,0,0,1,0,0.036086778180385116,2
FALSE POSITIVE,0,0,1,0,0.03659947926270389,2
FALSE POSITIVE,0,1,0,0,-0.03908801801460349,3
CANDIDATE,0,0,0,0,-0.08583994795854567,3
FALSE POSITIVE,0,0,1,0,0.003337996547274143,2
CANDIDATE,0,0,0,0,-0.07843782608256854,3
CANDIDATE,0,0,0,0,-0.08443001998216908,3
FALSE POSITIVE,0,0,1,0,0.3512697685358446,2
CANDIDATE,0,0,0,0,-0.08558359741738629,3
CANDIDATE,0,0,0,0,-0.08173833929999558,3
FALSE POSITIVE,1,0,1,1,0.053774965520382446,0
FALSE POSITIVE,1,0,0,1,-0.019861727427649883,0
CANDIDATE,0,0,0,0,-0.08612834231734998,3
CANDIDATE,0,0,0,0,-0.08423775707629955,3
FALSE POSITIVE,1,0,1,1,-0.08683330630553827,0
CANDIDATE,0,0,0,0,-0.08507089633506752,3
CANDIDATE,0,0,0,0,-0.08446206379981401,3
CANDIDATE,0,0,0,0,-0.08151403257648111,3
CANDIDATE,0,0,0,0,-0.08295600437050263,3
CANDIDATE,0,0,0,0,-0.08167425166470572,3
FALSE POSITIVE,1,1,0,0,-0.08648082431144413,0
FALSE POSITIVE,0,0,1,0,-0.034313489185510006,2
CANDIDATE,0,0,0,0,-0.0796554911530756,3
CANDIDATE,0,0,0,0,-0.08167425166470572,3
FALSE POSITIVE,1,0,0,1,-0.08667308721731366,0
CANDIDATE,0,0,0,0,-0.05299503487249992,3
FALSE POSITIVE,0,0,1,0,-0.049918828378587354,2
CANDIDATE,0,0,0,0,-0.05578284700760821,3
CANDIDATE,0,0,0,0,-0.04584926353768217,3
CANDIDATE,0,0,0,0,-0.07657928465916303,3
CANDIDATE,0,0,0,0,-0.07065117839485233,3
CANDIDATE,0,0,0,0,-0.0816422078470608,3
CANDIDATE,0,0,0,0,-0.08407753798807494,3
FALSE POSITIVE,0,0,1,0,0.059606940331758375,2
CANDIDATE,0,0,0,0,-0.07866213280608299,3
FALSE POSITIVE,1,0,0,1,-0.08731396357021211,0
CANDIDATE,0,0,0,0,-0.04850890040221076,3
FALSE POSITIVE,0,0,1,0,0.07530841097777048,2
CANDIDATE,0,0,0,0,-0.07946322824720606,3
CANDIDATE,0,0,0,0,-0.08068089331771312,3
CANDIDATE,0,0,0,0,-0.05549445264880389,3
FALSE POSITIVE,0,1,0,0,-0.08244330328818386,3
CANDIDATE,0,0,0,0,-0.08478250197626322,3
FALSE POSITIVE,1,0,1,0,-0.0870255692114078,2
CANDIDATE,0,0,0,0,-0.08039249895890882,3
CANDIDATE,0,0,0,0,-0.08676921867024844,3
FALSE POSITIVE,1,0,0,0,-0.08510294015271246,3
CANDIDATE,0,0,0,0,-0.08683330630553827,3
FALSE POSITIVE,1,0,1,0,-0.08590403559383553,2
CANDIDATE,0,0,0,0,-0.08378914362927063,3
CANDIDATE,0,0,0,0,-0.06350540706003456,3
FALSE POSITIVE,1,0,0,0,-0.08478250197626322,3
CANDIDATE,0,0,0,0,-0.08321235491166201,3
FALSE POSITIVE,1,0,1,0,0.22222931487974093,2
CANDIDATE,0,0,0,0,-0.08619242995263983,3
FALSE POSITIVE,1,0,1,1,-0.00018682339366735658,0
CANDIDATE,0,0,0,0,-0.0857438165056109,3
FALSE POSITIVE,1,0,1,1,-0.08779462083488596,0
CANDIDATE,0,0,0,0,-0.056039197548767586,3
FALSE POSITIVE,0,1,0,0,-0.08487863342919799,3
CANDIDATE,0,0,0,0,-0.08638469285850936,3
FALSE POSITIVE,0,0,1,0,-0.03226268485623495,2
FALSE POSITIVE,1,0,0,0,-0.08462228288803861,3
CANDIDATE,0,0,0,0,-0.08391731889985031,3
FALSE POSITIVE,0,0,1,0,0.20992448890409068,2
CANDIDATE,0,0,0,0,-0.07587432067097472,3
CANDIDATE,0,0,0,0,-0.08747418265843673,3
FALSE POSITIVE,1,1,0,1,-0.08481454579390815,0
CANDIDATE,0,0,0,0,-0.08478250197626322,3
CANDIDATE,0,0,0,0,-0.08487863342919799,3
FALSE POSITIVE,1,0,1,1,0.005420844694194112,0
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,3
CANDIDATE,0,0,0,0,-0.08430184471158939,3
FALSE POSITIVE,0,0,1,0,0.41468448365514665,2
FALSE POSITIVE,0,0,1,0,0.11574770884566292,2
CANDIDATE,0,0,0,0,-0.08132176967061158,3
CANDIDATE,0,0,0,0,-0.08555155359974137,3
CANDIDATE,0,0,0,0,-0.083628924541046,3
FALSE POSITIVE,0,1,0,0,-0.0869935253937629,3
FALSE POSITIVE,1,1,0,0,-0.031141151238662665,0
FALSE POSITIVE,0,1,0,0,-0.083628924541046,3
CANDIDATE,0,0,0,0,-0.07971957878836544,3
FALSE POSITIVE,1,1,0,0,-0.08414162562336477,0
CANDIDATE,0,0,0,0,-0.08577586032325583,3
CANDIDATE,0,0,0,0,-0.07488096232398211,3
FALSE POSITIVE,1,1,0,0,-0.007973471081383566,0
FALSE POSITIVE,1,0,1,0,-0.08641673667615428,2
FALSE POSITIVE,0,1,0,1,-0.06132642746017982,0
CANDIDATE,0,0,0,0,-0.08398140653514016,3
FALSE POSITIVE,0,1,0,0,-0.08558359741738629,3
FALSE POSITIVE,0,0,1,0,0.07495592898367634,2
CANDIDATE,0,0,0,0,-0.08032841132361897,3
FALSE POSITIVE,1,0,1,1,-0.08583994795854567,0
CANDIDATE,0,0,0,0,-0.08648082431144413,3
FALSE POSITIVE,0,1,0,0,0.012182090217272795,3
FALSE POSITIVE,0,0,1,0,0.1612499299014531,2
CANDIDATE,0,0,0,0,-0.08269965382934326,3
CANDIDATE,0,0,0,0,-0.08394936271749524,3
FALSE POSITIVE,0,0,1,0,0.05560146312614304,2
CANDIDATE,0,0,0,0,-0.07907870243546698,3
FALSE POSITIVE,1,0,1,1,-0.0675108842656499,0
CANDIDATE,0,0,0,0,-0.0834687054528214,3
CANDIDATE,0,0,0,0,-0.08013614841774944,3
FALSE POSITIVE,1,0,0,0,-0.08587199177619059,3
FALSE POSITIVE,0,0,1,0,0.46380765610481306,2
FALSE POSITIVE,0,1,0,0,0.07601337496595878,3
CANDIDATE,0,0,0,0,-0.07491300614162705,3
CANDIDATE,0,0,0,0,-0.0830521358234374,3
FALSE POSITIVE,0,0,1,0,0.15118817116094735,2
CANDIDATE,0,0,0,0,-0.08660899958202382,3
FALSE POSITIVE,0,1,0,0,-0.0823471718352491,3
CANDIDATE,0,0,0,0,-0.08548746596445153,3
FALSE POSITIVE,1,0,1,1,0.0011269731297744738,0
FALSE POSITIVE,0,0,1,0,0.014681507993576768,2
CANDIDATE,0,0,0,0,-0.07808534408847438,3
FALSE POSITIVE,1,0,1,0,-0.006243104928557745,2
FALSE POSITIVE,1,0,1,1,-0.08430184471158939,0
FALSE POSITIVE,1,0,0,1,-0.08068089331771312,0
FALSE POSITIVE,0,0,1,0,0.5945464320960976,2
CANDIDATE,0,0,0,0,-0.08436593234687924,3
FALSE POSITIVE,0,1,0,0,-0.07863008898843808,3
CANDIDATE,0,0,0,0,-0.08491067724684291,3
CANDIDATE,0,0,0,0,-0.07061913457720741,3
CANDIDATE,0,0,0,0,-0.08391731889985031,3
FALSE POSITIVE,0,1,0,0,-0.08337257399988664,3
FALSE POSITIVE,1,0,0,1,-0.08564768505267613,0
FALSE POSITIVE,0,1,0,0,0.004299311076621825,3
FALSE POSITIVE,0,1,0,0,0.08918338401802199,3
FALSE POSITIVE,0,0,1,0,0.10997982166957682,2
FALSE POSITIVE,1,0,1,1,-0.08523111542329215,0
CANDIDATE,0,0,0,0,-0.07837373844727868,3
FALSE POSITIVE,0,1,0,0,0.23559158683767373,3
FALSE POSITIVE,0,0,1,0,0.10946712058725805,2
FALSE POSITIVE,0,1,0,0,0.4361217976595999,3
FALSE POSITIVE,0,0,0,1,-0.08612834231734998,3
CANDIDATE,0,0,0,0,-0.0865769557643789,3
FALSE POSITIVE,1,0,1,1,-0.012235298828158277,0
FALSE POSITIVE,0,1,0,0,-0.07545775104159072,3
FALSE POSITIVE,1,0,0,1,-0.03146158941511189,0
CANDIDATE,0,0,0,0,-0.08167425166470572,3
FALSE POSITIVE,1,0,1,0,0.5410973442643666,2
FALSE POSITIVE,1,0,0,1,-0.08295600437050263,0
CANDIDATE,0,0,0,0,-0.08010410460010452,3
FALSE POSITIVE,1,1,0,0,-0.08612834231734998,0
FALSE POSITIVE,0,1,0,0,-0.07984775405894513,3
FALSE POSITIVE,0,1,0,0,-0.08282782909992294,3
CANDIDATE,0,0,0,0,-0.08250739092347371,3
CANDIDATE,0,0,0,0,-0.0854554221468066,3
FALSE POSITIVE,0,1,0,1,-0.06459489685996195,0
CANDIDATE,0,0,0,0,0.4076027999556187,3
FALSE POSITIVE,0,1,0,0,0.03121611789835686,3
CANDIDATE,0,0,0,0,-0.07955935970014083,3
FALSE POSITIVE,1,0,1,1,0.4336544237009408,0
CANDIDATE,0,0,0,0,-0.0797836664236553,3
FALSE POSITIVE,1,0,0,1,-0.08715374448198751,0
FALSE POSITIVE,1,0,0,1,-0.0865769557643789,0
FALSE POSITIVE,1,0,0,0,-0.08491067724684291,3
FALSE POSITIVE,0,0,0,1,-0.08795483992311058,3
FALSE POSITIVE,0,0,1,0,-0.015119242416201325,2
CANDIDATE,0,0,0,0,-0.08667308721731366,3
FALSE POSITIVE,0,0,1,0,-0.039440500008697636,2
CANDIDATE,0,0,0,0,-0.08186651457057526,3
FALSE POSITIVE,1,0,1,0,-0.06594073720104869,2
CANDIDATE,0,0,0,0,-0.08590403559383553,3
CANDIDATE,0,0,0,0,-0.08500680869977768,3
CANDIDATE,0,0,0,0,-0.0793670967942713,3
CANDIDATE,0,0,0,0,-0.07488096232398211,3
CANDIDATE,0,0,0,0,-0.0864487804937992,3
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,3
CANDIDATE,0,0,0,0,-0.08330848636459678,3
CANDIDATE,0,0,0,0,-0.08689739394082813,3
FALSE POSITIVE,0,1,0,0,-0.08141790112354635,3
CANDIDATE,0,0,0,0,-0.07798921263553962,3
CANDIDATE,0,0,0,0,-0.08763440174666134,3
CANDIDATE,0,0,0,0,-0.08494272106448784,3
FALSE POSITIVE,0,0,1,0,0.43974274905347616,2
CANDIDATE,0,0,0,0,-0.08430184471158939,3
FALSE POSITIVE,1,0,0,0,0.00676668503528087,3
FALSE POSITIVE,0,0,1,0,0.0629074535491854,2
CANDIDATE,0,0,0,0,-0.08651286812908905,3
CANDIDATE,0,0,0,0,-0.08558359741738629,3
FALSE POSITIVE,1,0,0,0,-0.08119359440003189,3
FALSE POSITIVE,1,1,0,1,-0.08449410761745892,0
FALSE POSITIVE,0,1,0,0,0.053999272243896904,3
FALSE POSITIVE,0,1,0,0,0.01301522947604079,3
CANDIDATE,0,0,0,0,-0.0872819197525672,3
FALSE POSITIVE,0,0,1,0,0.02496757345759695,2
FALSE POSITIVE,1,0,1,0,-0.08394936271749524,2
CANDIDATE,0,0,0,0,-0.08112950676474204,3
FALSE POSITIVE,1,0,1,1,0.11962501078069854,0
FALSE POSITIVE,0,0,1,0,-0.0799438855118799,2
CANDIDATE,0,0,0,0,-0.07702789810619194,3
CANDIDATE,0,0,0,0,-0.07943118442956114,3
FALSE POSITIVE,0,0,1,0,0.013431799105424781,2
FALSE POSITIVE,0,0,1,0,0.053326352073353525,2
CANDIDATE,0,0,0,0,-0.08023227987068421,3
FALSE POSITIVE,0,0,1,0,-0.08161016402941589,2
FALSE POSITIVE,1,0,1,1,-0.017939098368954517,0
CANDIDATE,0,0,0,0,-0.08526315924093707,3
FALSE POSITIVE,0,1,0,0,0.10517324902283842,3
FALSE POSITIVE,0,1,0,1,-0.01559989968087516,0
FALSE POSITIVE,1,0,0,0,-0.08404549417043,3
FALSE POSITIVE,1,0,0,1,-0.07497709377691689,0
FALSE POSITIVE,0,0,1,0,-0.045464737725943095,2
FALSE POSITIVE,0,1,0,0,-0.08529520305858199,3
FALSE POSITIVE,1,1,0,1,-0.08580790414090075,0
FALSE POSITIVE,1,0,1,0,-0.07859804517079315,2
FALSE POSITIVE,1,1,0,1,0.15157269697268644,0
FALSE POSITIVE,1,0,0,1,-0.08542337832916168,0
CANDIDATE,0,0,0,0,-0.08692943775847305,3
FALSE POSITIVE,0,0,1,0,0.0777437411187846,2
CANDIDATE,0,0,0,0,-0.08045658659419867,3
CANDIDATE,0,0,0,0,-0.08039249895890882,3
CANDIDATE,0,0,0,0,-0.08359688072340109,3
FALSE POSITIVE,0,1,0,0,-0.07279811417706215,3
CANDIDATE,0,0,0,0,-0.08632060522321952,3
CANDIDATE,0,0,0,0,-0.051264668719674104,3
FALSE POSITIVE,0,0,1,0,-0.0203103408746788,2
CANDIDATE,0,0,1,0,0.0032739089119842987,2
FALSE POSITIVE,0,0,1,0,0.09466287683530378,2
CANDIDATE,0,0,0,0,-0.08660899958202382,3
CANDIDATE,0,0,0,0,-0.07177271201242462,3
CANDIDATE,0,0,0,0,-0.08372505599398078,3
CANDIDATE,0,0,0,0,-0.0816422078470608,3
CANDIDATE,0,0,0,0,-0.08282782909992294,3
CANDIDATE,0,0,0,0,-0.08183447075293035,3
CANDIDATE,0,0,0,0,-0.08638469285850936,3
CANDIDATE,0,0,0,0,-0.08523111542329215,3
CANDIDATE,0,0,0,0,-0.0826355661940534,3
FALSE POSITIVE,0,0,1,0,1.193573559150282,2
FALSE POSITIVE,0,1,0,0,-0.0823471718352491,3
FALSE POSITIVE,1,0,1,0,-0.0796554911530756,2
CANDIDATE,0,0,0,0,0.02605706325752431,3
CANDIDATE,0,0,0,0,-0.08391731889985031,3
FALSE POSITIVE,1,0,1,0,0.007856174835208242,2
FALSE POSITIVE,1,0,1,0,-0.08289191673521279,2
FALSE POSITIVE,1,0,1,0,-0.03700516986768351,2
FALSE POSITIVE,1,0,0,0,-0.0860001670467703,3
CANDIDATE,0,0,0,0,-0.0865769557643789,3
FALSE POSITIVE,0,0,1,0,0.017565451581619804,2
FALSE POSITIVE,1,0,0,1,-0.08625651758792967,0
FALSE POSITIVE,0,0,1,0,0.2249850831972043,2
FALSE POSITIVE,1,0,1,1,-0.06090985783079583,0
