koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,2.35,0
CANDIDATE,0,0,0,0,2.37,0
FALSE POSITIVE,1,0,1,1,17.06,3
CANDIDATE,0,0,0,0,2.25,0
CANDIDATE,0,0,0,0,1.48,0
FALSE POSITIVE,0,0,1,0,38.33,1
CANDIDATE,0,0,0,0,8.24,0
CANDIDATE,0,0,0,0,5.39,0
CANDIDATE,0,0,0,0,2.66,0
CANDIDATE,0,0,0,0,3.01,0
CANDIDATE,0,0,0,0,3.01,0
CANDIDATE,0,0,0,0,2.19,0
CANDIDATE,0,0,0,0,2.31,0
CANDIDATE,0,0,0,0,2.64,0
CANDIDATE,0,0,0,0,6.21,0
CANDIDATE,0,0,0,0,4.35,0
CANDIDATE,0,0,0,0,3.75,0
CANDIDATE,0,0,0,0,13.84,0
CANDIDATE,0,0,0,0,7.59,0
FALSE POSITIVE,1,0,1,0,26.82,2
CANDIDATE,0,0,0,0,2.29,0
CANDIDATE,0,0,0,0,2.47,0
CANDIDATE,0,0,0,0,3.68,0
CANDIDATE,0,0,0,0,10.59,0
CANDIDATE,0,0,0,0,2.56,0
CANDIDATE,0,0,0,0,3.03,0
CANDIDATE,0,0,0,0,2.32,0
CANDIDATE,0,0,0,0,1.94,0
CANDIDATE,0,0,0,0,11.38,0
CANDIDATE,0,0,0,0,14.21,0
CANDIDATE,0,0,0,0,2.47,0
CANDIDATE,0,0,0,0,8.2,0
CANDIDATE,0,0,0,0,2.28,0
FALSE POSITIVE,0,0,1,0,19.02,1
FALSE POSITIVE,1,0,1,1,2.66,3
CANDIDATE,0,0,0,0,1.41,0
FALSE POSITIVE,0,0,1,0,14.62,1
CANDIDATE,0,0,0,0,2.62,0
CANDIDATE,0,0,0,0,3.11,0
CANDIDATE,0,0,0,0,2.69,0
CANDIDATE,0,0,0,0,2.67,0
CANDIDATE,0,0,0,0,8.98,0
CANDIDATE,0,0,0,0,7.78,0
FALSE POSITIVE,1,0,1,0,4.37,2
CANDIDATE,0,0,0,0,3.91,0
CANDIDATE,0,0,0,0,5.51,0
CANDIDATE,0,0,0,0,2.43,0
CANDIDATE,0,0,0,0,1.86,0
CANDIDATE,0,0,0,0,3.07,0
CANDIDATE,0,0,0,0,1.69,0
CANDIDATE,0,0,0,0,1.73,0
CANDIDATE,0,0,0,0,1.65,0
FALSE POSITIVE,0,0,1,0,22.94,1
CANDIDATE,0,0,0,0,2.41,0
CANDIDATE,0,0,0,0,8.46,0
CANDIDATE,0,0,0,0,1.97,0
CANDIDATE,0,0,0,0,2.36,0
CANDIDATE,0,0,0,0,2.35,0
